session,max(energy(energy)),mean(energy(energy)),var(energy(energy))
Angry_198,10701.6982717,4741.02765604,4693768.97206
Angry_199,9138.07355051,4808.02657398,3256349.26935
Angry_2,23950.4552454,11011.0661294,33427884.8461
Angry_20,9042.9839036,4897.28764405,4037716.22633
Angry_200,8426.77640967,5137.80444334,3819426.40836
Angry_201,11538.7339908,5395.57222589,6466902.23827
Angry_202,11111.3926685,4835.24454717,4256629.78102
Angry_203,12938.382433,5107.91732198,5292382.32655
Angry_204,8998.41092077,5305.47380504,1932479.21177
Angry_205,8331.09540182,4580.21742247,3043628.17407
Angry_206,11469.4815012,4664.47660539,5060007.731
Angry_207,8669.2216767,5006.25251331,2736977.25583
Angry_208,154735.48946,54003.0205318,1833695474.34
Angry_209,184056.495294,38834.8072043,1359895134.76
Angry_21,9527.08594098,4983.5967443,4896372.63538
Angry_210,8233.26085702,4697.03849635,2482469.19731
Angry_211,173838.539733,46857.7128211,1697481174.26
Angry_212,98577.6241196,31307.0571212,323176169.033
Angry_213,295989.795192,46843.1837395,2584278081.31
Angry_214,87062.7162805,24623.8123965,312928885.721
Angry_215,167176.088702,47227.5010978,1271851342.12
Angry_216,239942.264148,63690.3310453,2555726648.43
Angry_217,142680.24609,40533.7494238,635629666.178
Angry_218,193696.808766,65596.1649894,3229715842.74
Angry_219,140647.859861,68444.0970817,965966536.918
Angry_22,9208.04821952,4886.09147766,6323499.16301
Angry_220,233115.654434,118800.312877,1963012566.44
Angry_221,305591.82297,107285.469934,3745261022.19
Angry_222,205613.774939,52256.1308022,2152730845.68
Angry_223,180396.125405,81016.8751318,1683647710.81
Angry_224,181601.554266,79172.3191116,1455744801.99
Angry_225,419899.106346,93719.6098171,8270710874.04
Angry_226,337702.09622,168592.466387,6976222308.03
Angry_227,344324.780871,137470.324853,5545957292.84
Angry_228,283405.898716,141335.107539,7377514163.96
Angry_229,322930.505499,131742.851002,7294223930.63
Angry_23,12473.5891566,5631.21651113,9260200.18612
Angry_230,344513.11875,135144.518795,6209414488.57
Angry_231,458029.482965,143911.572378,8273135395.1
Angry_24,14442.5440159,4371.87598154,8586790.69345
Angry_25,10351.1238172,5142.00635942,4962745.24705
Angry_26,10737.0675339,4585.87356287,5260999.6901
Angry_27,9925.76337249,4523.98831162,4140140.79203
Angry_28,9194.01063676,4852.7593248,2931992.02778
Angry_29,9689.16172326,4926.9303851,4351883.43654
Angry_3,28099.2671885,12543.3336607,54675436.3226
Angry_30,8951.1857165,4446.58067025,4709139.34603
Angry_31,8961.1993636,4905.62860016,2729589.17437
Angry_32,9223.78326395,5126.2062165,2518182.23059
Angry_33,11990.3727212,4944.50656317,6912176.07815
Angry_34,10149.8939917,4751.55889251,5194116.32762
Angry_35,10552.0389737,5145.55779491,7070878.81692
Angry_36,12627.9870996,4175.86453626,5158291.97129
Angry_37,10949.1549403,5383.96862345,3253043.07359
Angry_38,7823.5495312,4587.17276779,1979345.05843
Angry_39,9714.07436985,4673.31236916,3198765.46568
Angry_4,25186.1876141,12513.1915183,26960410.8973
Angry_40,9834.21554149,5201.95748498,3359872.27363
Angry_41,16063.9223584,4739.43980253,8220203.44268
Angry_42,11232.3807099,5022.00978452,4882435.78629
Angry_43,8520.43549466,4654.4085098,3149168.86654
Angry_44,8577.8423874,5096.40167131,3120448.78673
Angry_45,11151.7442239,5390.98555115,6762238.47031
Angry_46,15283.0648985,5008.43456439,6938708.52408
Angry_47,9629.80786973,4985.721463,2859588.26619
Angry_48,8420.42995809,5199.14744311,1987516.55852
Angry_49,8056.8204489,4569.6768251,3096378.1448
Angry_5,4114.18054481,2917.40423633,479933.448262
Angry_50,10795.7301219,4800.81658863,3863005.30496
Angry_51,8204.62639769,5092.85890161,2478499.78495
Angry_52,8441.41935204,4780.83001831,2715510.38934
Angry_53,9962.50150484,3988.63416809,6253242.65385
Angry_54,9975.12165799,4035.7065019,6659977.68937
Angry_55,8801.68180872,4709.20606986,2857541.25688
Angry_56,215422.878841,90109.9804624,2924914627.83
Angry_57,212521.775098,73578.5321053,1871861252.53
Angry_58,165144.130155,56762.9646234,1792800427.47
Angry_59,239298.34553,62362.1170757,2707234646.26
Angry_6,4372.6625684,2539.5101654,817290.968707
Angry_60,97941.7839448,28409.9060402,488109502.157
Angry_61,172584.277839,34817.8473342,1078438125.84
Angry_62,303099.934467,119632.288361,5532518638.14
Angry_63,245039.170609,92708.4114382,2915133853.59
Angry_64,326365.984294,83276.6500721,5720586421.42
Angry_65,205357.014964,69950.042291,4354783671.27
Angry_66,362106.076266,119803.537741,7457878089.3
Angry_67,209407.278622,76666.2343293,3657515739.35
Angry_68,284562.489227,90357.2855477,4964793743.77
Angry_69,177965.377931,43795.940884,1367925703.01
Angry_7,4667.27964498,2325.90017332,761806.677996
Angry_70,156687.456315,40832.1793413,1310230113.01
Angry_71,282890.126673,73379.6426756,4608189013.22
Angry_72,56379.676641,19741.8411936,224745824.187
Angry_73,115597.712627,29535.8552296,968028492.334
Angry_74,91357.1826314,24089.8726902,330126475.621
Angry_75,20634.8155927,6166.48156857,25464460.2686
Angry_76,222781.086557,42894.1131281,2613637123.38
Angry_77,269873.199634,58595.7293016,3635046735.24
Angry_78,139205.9786,32075.4213468,701977658.127
Angry_79,164550.361956,26944.0497337,1434355306.73
Angry_8,4121.47677491,2433.71182263,513982.324263
Angry_80,63647.3908636,18674.2881812,277934037.081
Angry_81,177908.334264,49562.6540665,2098261236.6
Angry_82,193232.073867,69580.1977286,2788444885.07
Angry_83,165772.030555,49461.4154272,1216927337.47
Angry_84,241066.716305,38248.7264293,2082825488.45
Angry_85,279277.483826,85400.9348067,2158309741.3
Angry_86,315025.345029,100728.822276,5518745348.48
Angry_87,206383.454488,74193.9748119,2553348211.06
Angry_88,300715.714154,52084.4176164,2700137343.98
Angry_89,322913.319104,64052.783439,3715940448.1
Angry_9,21506.8011275,10384.9369163,14972817.0268
Angry_90,329511.819589,125204.665282,8548990854.51
Angry_91,63387.0624365,24181.2909306,297926742.775
Angry_92,317550.790998,81114.3786033,4494694469.03
Angry_93,304818.454428,115425.739566,3871314095.31
Angry_94,634415.311267,144476.084519,12295474669.4
Angry_95,303603.665415,120366.707769,5325771756.93
Angry_96,306202.313099,110981.59251,6182658445.82
Angry_97,263274.280845,96883.2607483,6031963717.46
Angry_98,334784.356521,169123.736718,6491890113.34
Angry_99,303199.168146,137152.247703,6550775965.5
Happy_232,199417.235792,93557.1439717,2756787387.19
Happy_233,180493.638631,75874.2536161,1914592467.16
Happy_234,54377.3951162,9163.36664084,123169141.18
Happy_235,35869.6914412,13575.1995438,94087190.5056
Happy_236,9844.12529959,3904.67273245,3752644.42085
Happy_237,61842.4771956,19082.304638,242841417.633
Happy_238,105456.580528,41994.3604608,673389347.519
Happy_239,197120.777931,50425.8249408,1519112461.56
Happy_240,151328.000417,46233.214377,1383059039.51
Happy_241,235237.0381,100210.381548,4020764701.63
Happy_242,180519.134325,63904.790975,1916751367.35
Happy_243,79150.5824852,39911.3282512,372070024.783
Happy_244,267720.071857,62568.1456129,2577842030.13
Happy_245,40030.5917035,18158.841143,86859374.3071
Happy_246,41101.9767265,18416.1580817,88802978.4139
Happy_247,24815.6130503,10442.9648633,46378542.8455
Happy_248,177581.148032,82197.540348,2013363372.85
Happy_249,211787.9392,75268.4837236,1565311996.93
Happy_250,116161.725486,43603.858198,613440645.168
Happy_251,137122.879481,40572.3414697,1099754683.43
Happy_252,168211.995399,51732.1549983,1304349184.4
Happy_253,254730.920989,47080.1452015,1955987825.65
Happy_254,53155.2647895,20570.6161874,248798911.791
Happy_255,73617.2389279,23206.2258709,325827494.711
Happy_256,48949.5149303,18315.9686454,111188512.207
Happy_257,22028.4867255,11251.644931,30486532.3554
Happy_258,82803.0608534,18864.0277914,281864615.049
Happy_259,202460.190972,74754.7368887,1718859459.0
Happy_260,66756.8892087,25527.0687769,360579634.602
Happy_261,167898.980011,42443.5019861,1213602825.11
Happy_262,56330.0419046,19663.5957163,157641467.151
Happy_263,22190.6052865,6914.88397777,25969067.7929
Happy_264,23446.3579285,13150.2003099,34073905.6674
Happy_265,232911.415535,105025.806771,2122859712.07
Happy_266,177569.185503,58185.1397436,1829197232.83
Happy_267,85054.2051686,24793.0964781,305215458.535
Happy_268,103085.034001,28950.9763805,461943092.658
Happy_269,127990.643944,41517.2054241,986492451.133
Happy_270,171399.291424,65510.8445151,1268999753.72
Happy_271,123918.59073,36792.6267789,501861474.389
Happy_272,162837.601467,47083.523469,1161737835.0
Happy_273,83009.2197933,23087.7817137,392505130.683
Happy_274,110473.274974,36452.970807,889120818.128
Happy_275,173812.214478,66542.271553,1830698451.3
Happy_276,173457.692425,51546.4909213,983086184.627
Happy_277,62332.0896084,29298.369263,194985064.963
Happy_278,89142.4013331,29667.908977,453486635.449
Happy_279,151279.957276,54132.429575,1317936642.4
Happy_280,266656.581216,44627.8550635,3234983642.48
Happy_281,178773.179695,44067.9909056,1204345667.83
Happy_282,302352.249455,62683.3999924,3224359499.09
Happy_283,129375.862424,43288.6236333,780530660.116
Happy_284,116565.495985,41264.4508147,737123243.058
Happy_285,191196.267972,43968.42736,2067609248.52
Happy_286,192610.776568,40270.1765477,1379566389.89
Happy_287,189052.312037,56118.7524921,1725870897.63
Happy_288,149047.604994,45048.669918,1515687749.22
Happy_289,119911.925476,34096.6911036,604636737.103
Happy_290,35092.3312971,17302.5778008,96572995.1938
Happy_291,73421.7065019,29656.0472716,369984040.458
Happy_292,88238.033472,23530.3079342,301144417.261
Happy_293,26586.8141874,11276.9535088,43216815.6182
Happy_294,11038.8705278,5276.88887218,7161707.25329
Happy_295,23583.1748837,9557.71678316,46121334.5606
Happy_296,13483.7376113,4795.83434866,12469381.3694
Happy_297,35775.1733961,14130.7466503,54833175.534
Neutral_298,30500.61,7975.18652971,49616508.8424
Neutral_299,11551.5076122,3375.16063058,8695650.44898
Neutral_300,10481.5550411,3046.62062141,7909085.57637
Neutral_301,24554.5378456,5258.72547028,36127405.7395
Neutral_302,46521.7513472,6632.51941013,76386402.573
Neutral_303,17383.6045119,4826.39084174,14621508.439
Neutral_304,27497.8875424,4986.1645321,26505882.0414
Neutral_305,18234.5458197,4808.35779939,18862444.634
Neutral_306,41090.9222403,11330.9252348,111111103.888
Neutral_307,25639.9189076,6173.85838683,38784261.6258
Neutral_308,36516.2808974,4774.92121538,36180514.416
Neutral_309,24392.7680791,8147.69607837,37495120.347
Neutral_310,21131.5908318,5197.13750171,20372266.3121
Neutral_311,40493.8550791,9703.95028148,81669775.2204
Neutral_312,18195.8513117,5274.29844516,19777142.8507
Neutral_313,65435.5656485,23793.5683543,203948988.739
Neutral_314,38833.0493864,13576.4913579,75786179.995
Neutral_315,19124.4162627,9399.83398715,23238356.0043
Neutral_316,26018.9770138,11345.74508,38104355.2526
Neutral_317,51838.1161218,13712.297478,114708444.752
Neutral_318,16936.9910132,7987.08148268,14195244.7324
Neutral_319,28411.1464113,9529.69287358,30383320.9685
Neutral_320,397649.526425,241492.448988,5574436378.43
Neutral_321,99920.3896579,22610.2194463,530480954.699
Neutral_322,44102.2400592,8681.70168931,78529897.9825
Neutral_323,89556.0552086,13517.4399985,331069619.985
Neutral_324,56973.9370322,14813.9234654,159024689.672
Neutral_325,76749.7582169,22087.8779532,384534150.378
Neutral_326,71979.3418182,20474.6972833,261720515.527
Neutral_327,154076.982371,54789.8542828,1067392035.0
Neutral_328,329119.428133,74904.7015961,3184179000.8
Neutral_329,65876.1778013,18492.0608525,255648186.33
Neutral_330,62903.1861123,20035.5390538,280598859.441
Neutral_331,56392.7460393,16004.5467465,169183260.958
Neutral_332,178858.304184,32536.9420702,1809163068.63
Neutral_333,88444.2536057,21629.8608392,459774340.382
Neutral_334,98996.6045261,32126.0084682,1064093204.3
Neutral_335,91188.0873669,21395.1863992,370864430.476
Neutral_336,50983.6097375,21212.1303086,142575377.131
Neutral_337,92396.5743926,22104.55549,409180835.084
Neutral_338,48668.9480195,12054.9426309,143903340.369
Neutral_339,152582.397906,33742.5562907,1487159049.76
Neutral_340,71111.258787,19679.7409036,342573314.232
Neutral_341,85375.5326944,23289.8592141,341253548.447
Neutral_342,62455.4668483,13509.8557933,276092721.229
Neutral_343,66224.8242479,17946.4291344,279540123.616
Neutral_344,58838.1952237,16671.9305653,264323342.533
Neutral_345,89948.00651,22906.1854988,296132897.31
Neutral_346,104510.410923,20799.8209545,389046750.14
Neutral_347,103933.282002,16918.5635294,476964751.598
Neutral_348,103419.26975,31615.9766055,717520155.433
Neutral_349,67964.8848399,18932.7174644,359486080.804
Neutral_350,12322.9922118,5364.80812143,6756595.69649
Neutral_351,43677.5978757,11727.5211918,106364031.789
Neutral_352,31328.6961048,7898.98796883,59833387.495
Neutral_353,44366.3004594,7485.61333577,81433649.2409
Neutral_354,21029.0121855,5977.348745,35962880.6061
Neutral_355,30351.8838986,6571.65659642,62266831.0414
Neutral_356,38798.8173075,8511.29144355,78195024.0591
Neutral_357,23610.260492,5228.26453432,20152675.6482
Neutral_358,27410.2093333,11963.4230788,46602367.1665
Neutral_359,69700.5296115,20677.89182,231855918.146
Neutral_360,26937.2465536,10678.218789,38415833.6031
Neutral_361,86175.1632774,29505.1602765,515903933.021
Neutral_362,118564.639199,26013.4370796,708392033.239
Neutral_363,82033.5125653,21439.4514478,375547476.629
Neutral_364,12443.0557251,5165.8388835,9362712.98006
Neutral_365,14466.5094698,4555.43295444,9798600.70659
Neutral_366,10453.9645143,5156.62250888,4826660.54807
Neutral_367,35354.0239771,10756.0664032,79878870.0414
Neutral_368,20193.1766964,5220.19512807,23372229.7513
Neutral_369,35133.8555329,5486.13768616,33255411.0807
Neutral_370,49676.8787904,18915.5009803,153823724.424
Neutral_371,33398.8490408,10981.5525249,64634144.8509
Neutral_372,81388.6690161,21231.3631855,364124496.327
Neutral_373,43454.3044431,17456.28555,122698653.049
Neutral_374,81927.8055888,23090.0014608,300321901.235
Neutral_375,37866.3819099,13875.3247869,70913657.6408
Neutral_376,40095.537191,8260.64917444,69308108.0737
Neutral_377,48723.5257587,11076.1902071,92123817.4177
Neutral_378,54290.4541229,14961.6133899,169937753.648
Neutral_379,55146.5791563,19793.8790152,185382218.409
Neutral_380,29171.2330082,8755.64598336,41698385.6911
Neutral_381,25174.7104099,8062.82054047,39809631.6655
Neutral_382,33768.9563011,10453.5243254,69795000.439
Neutral_383,26945.0529407,6523.01288946,29163036.1485
Neutral_384,50119.8437732,14691.0320729,138517132.365
Neutral_385,45360.8226942,12295.5566559,107739181.956
Neutral_386,19770.6338097,5834.26484555,23395581.6268
Neutral_387,20244.0577415,5228.41084993,14932108.5724
Neutral_388,33315.4567063,13524.1406163,53924870.5266
Neutral_389,73025.5941393,16943.3791354,152649393.791
Neutral_390,385519.87165,230087.064599,3299914864.01
Neutral_391,531522.505951,231909.05982,5981173742.55
Neutral_392,623927.005707,258944.012052,9406380261.17
Neutral_393,123084.855449,27182.7123444,863356961.606
Neutral_394,124978.837887,30985.1563936,682694951.872
Neutral_395,36762.3425967,8628.7763255,62300010.3643
Neutral_396,27353.744797,9220.43253394,56068995.0733
Neutral_397,20895.2508784,8202.8295201,25735126.7509
Neutral_398,54764.3992896,14915.9372577,229622565.512
Neutral_399,16420.3031397,4911.29013394,16536078.541
Neutral_400,15693.1228406,5384.22501589,17415518.6073
Neutral_401,18378.6241747,4711.24598512,18757450.2628
Neutral_402,13133.9091878,4283.61646994,13986487.9108
Neutral_403,23170.7903477,8469.31778627,46185795.2665
Neutral_404,24196.848715,7701.32431067,45920598.512
Neutral_405,16742.8265264,4689.75726529,16853490.7222
Neutral_406,27255.6080932,6630.95842682,34549805.8182
Neutral_407,19332.5148892,5663.16816821,18297767.5256
Neutral_408,24942.821395,7407.54690108,31142181.3244
Neutral_409,46696.9026756,14296.3051108,167492794.599
Neutral_410,70313.735688,17523.5397725,289631310.316
Neutral_411,65006.6232915,11656.0161367,219018970.826
Neutral_412,31205.9072486,12540.1527331,85384211.5846
Neutral_413,43632.8378217,10735.8321342,130058067.387
Neutral_414,54896.9517605,11754.4683555,139364622.192
Neutral_415,41838.9876908,8368.63613937,72891517.4604
Neutral_416,38216.661382,9763.15054957,96687997.0083
Neutral_417,36475.8771318,11743.5645601,64936868.8642
Neutral_418,31092.6074577,12199.762524,56036245.4252
Neutral_419,31643.1454422,9491.30300548,64961758.2888
Neutral_420,35018.2126334,9488.82022834,70765213.9111
Neutral_421,23035.0595443,6145.57666183,33667174.7353
Neutral_422,21400.3784048,8443.83081807,28246812.8578
Neutral_423,38480.8725518,6375.82630567,60723069.0974
Neutral_424,41022.766279,11978.5340457,64811958.4972
Neutral_425,32041.9710545,11451.9901459,44406118.5505
Neutral_426,19010.7007974,6838.18827078,20151916.642
Neutral_427,16897.8616677,4645.94648791,11488718.5633
Neutral_428,111342.143394,36616.0355097,867031184.755
Neutral_429,138359.552733,35088.1257207,1208808404.11
Neutral_430,189516.222131,46539.5425893,1521176150.7
Neutral_431,111688.326348,36548.5685838,874399735.316
Neutral_432,63536.2073943,15223.8049315,192494534.697
Neutral_433,51671.8694054,18987.4471024,154297704.916
Neutral_434,53045.7103873,15358.4541256,136004797.628
Neutral_435,39864.1381539,11312.5318823,118702123.451
Neutral_436,33952.0238086,10309.3773682,52934034.8338
Neutral_437,24187.4798827,5100.98634559,23693487.5384
Neutral_438,21609.8682814,5449.19851137,29960168.7055
Neutral_439,40707.1794378,9793.32327838,71497688.7365
Neutral_440,41769.4445683,7790.11475483,59659183.6135
Neutral_441,31498.0060646,6564.7665841,44035006.4545
Neutral_442,46209.3537122,14994.3888712,119308451.715
Neutral_443,31710.0537856,6310.54333795,49933847.0492
Neutral_444,50676.6443047,11453.9289849,122489176.217
Neutral_445,44893.3689168,13209.9333962,87976376.4257
Neutral_446,37604.0833235,9519.535576,83779467.9362
Neutral_447,22881.9657402,4061.64562634,20861713.714
Neutral_448,38262.2775564,9129.74173232,102668371.181
Neutral_449,71704.4424092,14880.5572978,160654532.672
Neutral_450,31954.8393312,8403.01366244,55416528.1853
Neutral_451,60862.8336497,18129.252306,370333217.295
Neutral_452,104392.652239,30060.6607772,779369485.539
Neutral_453,77944.5855493,20660.6441807,454326155.358
Neutral_454,202629.791841,34729.5922076,1550669472.39
Neutral_455,104090.310737,22653.7884399,559216999.061
Neutral_456,107386.286671,26635.9037229,811969483.692
Neutral_457,92713.0152826,15650.9413707,343050169.024
Neutral_458,68062.3477751,15698.6524169,206438784.674
Neutral_459,92049.6101456,25745.7307765,525070948.266
Neutral_460,97037.4302457,27202.5734229,412691603.301
Neutral_461,141391.225195,39477.3307124,892981983.089
Neutral_462,38483.9950792,6816.71444671,63102320.8843
Neutral_463,18385.7824073,4735.17876545,23787889.8909
Neutral_464,23749.3231289,7580.45915481,36350290.6489
Neutral_465,35011.7061697,7529.16798815,43264604.9571
Neutral_466,49276.3693925,14485.0603337,160236913.585
Neutral_467,41917.9817311,15603.8281373,142073931.356
Neutral_468,24433.6866313,6903.58112608,45724453.4099
Neutral_469,21091.3816811,5689.48764556,37231287.9775
Neutral_470,17608.3042089,4697.18701027,16412229.0618
Neutral_471,11475.1971448,3478.07747541,5489843.03263
Neutral_472,156184.079118,29946.4049135,1490309886.87
Neutral_473,144202.245395,27694.9303066,878914397.774
Neutral_474,36883.5047239,10074.7609066,95561419.2839
Neutral_475,35270.7743807,10054.5344048,68025668.1958
Neutral_476,34342.9492831,9668.45239297,94182185.2551
Neutral_477,37307.3778068,10461.9891307,63767969.8467
Neutral_478,42903.6321039,6660.03721413,65079567.648
Neutral_479,21906.9248425,6942.75338914,26925955.2637
Neutral_480,28268.4213201,7781.47375502,52773693.545
Neutral_481,22543.1552682,5721.58575589,30949156.71
Neutral_482,36895.820815,10189.3109442,73848671.5506
Neutral_483,42594.7352391,7435.6577529,85392674.4038
Neutral_484,11175.1844761,3357.28245092,7340687.66853
Neutral_485,14156.8382366,3662.537073,13351331.4871
Neutral_486,11266.2956246,2799.48609127,9403806.12188
Neutral_487,29642.3458088,5827.97155758,49399685.3117
Neutral_488,18675.6742575,3841.24477902,22101279.1386
Neutral_489,16834.8678642,2405.10827904,10120513.7639
Neutral_490,19001.2022065,3119.06201529,14968669.1697
Neutral_491,11484.8421674,3428.82421325,7718882.00877
Neutral_492,24027.1253891,6269.95314782,35384794.4744
Neutral_493,12358.3760663,2669.41278865,7166467.94534
Neutral_494,4902.07915673,2076.44489995,2222588.2935
Neutral_495,6416.1711648,1753.75648769,2641713.49424
Neutral_496,13733.8064823,3085.23059327,9574184.71336
Neutral_497,13111.2363757,2536.3691672,6682640.95263
Neutral_498,63618.8579204,16899.6619242,181333166.855
Neutral_499,99618.8773027,24100.8235119,443283600.777
Neutral_500,96037.8777798,22157.8786527,444973186.868
Neutral_501,30192.4718684,7643.67906155,52490359.1243
Neutral_502,37135.1753162,6718.59025398,50664449.8418
Neutral_503,35141.4813245,10631.9681273,95460737.9925
Neutral_504,62849.7738539,11081.7194409,257874457.28
Neutral_505,90098.8073379,19287.0497895,558422099.592
Neutral_506,67410.2521898,22231.3344716,375182364.924
Neutral_507,105780.903321,22356.7022089,817868615.063
Neutral_508,50954.2764338,16690.5751086,218699354.544
Neutral_509,66116.0862221,20916.2789339,397652274.063
Neutral_510,192024.810239,30855.4439824,1400804498.17
Neutral_511,39733.6814616,9417.8256116,85685121.9744
Neutral_512,27584.9457642,7185.02470091,47600794.3658
Neutral_513,24975.5039617,8445.1327823,37567156.2527
Neutral_514,25786.2914986,10726.0852268,42947104.4672
Neutral_515,32238.4019235,8700.19953771,37286403.3426
Neutral_516,18585.2297007,6339.51860899,23135316.9869
Neutral_517,28812.4167474,8083.1131004,45005735.7213
Neutral_518,29064.3468646,7095.40400373,35300959.6542
Neutral_519,16254.7062141,4817.63217491,15381866.1295
Neutral_520,20975.7427302,8443.86615619,40164205.9648
Neutral_521,32769.5964552,7932.02290293,49857855.2096
Neutral_522,67972.9642042,20808.1571223,363042357.928
Neutral_523,78061.5591584,15919.8045196,306155227.491
Sad_524,2601.95664541,627.110229879,433574.921477
