session,maxAmplitude
Ses01F_impro03\Ses01F_impro03_M010,10052
Ses01F_impro03\Ses01F_impro03_M011,9613
Ses01F_impro03\Ses01F_impro03_M012,12673
Ses01F_impro03\Ses01F_impro03_M013,32767
Ses01F_impro03\Ses01F_impro03_M014,15385
Ses01F_impro03\Ses01F_impro03_M015,14135
Ses01F_impro03\Ses01F_impro03_M016,7908
Ses01F_impro03\Ses01F_impro03_M017,12108
Ses01F_impro03\Ses01F_impro03_M018,1865
Ses01F_impro03\Ses01F_impro03_M019,5032
Ses01F_impro03\Ses01F_impro03_M020,8875
Ses01F_impro03\Ses01F_impro03_M021,5840
Ses01F_impro03\Ses01F_impro03_M022,9723
Ses01F_impro03\Ses01F_impro03_M023,28093
Ses01F_impro03\Ses01F_impro03_M024,6560
Ses01F_impro04\Ses01F_impro04_F000,15459
Ses01F_impro04\Ses01F_impro04_F001,10472
Ses01F_impro04\Ses01F_impro04_F002,8861
Ses01F_impro04\Ses01F_impro04_F003,4276
Ses01F_impro04\Ses01F_impro04_F004,2520
Ses01F_impro04\Ses01F_impro04_F005,2751
Ses01F_impro04\Ses01F_impro04_F006,9311
Ses01F_impro04\Ses01F_impro04_F007,18328
Ses01F_impro04\Ses01F_impro04_F008,10925
Ses01F_impro04\Ses01F_impro04_F009,3346
Ses01F_impro04\Ses01F_impro04_F010,24437
Ses01F_impro04\Ses01F_impro04_F011,9767
Ses01F_impro04\Ses01F_impro04_F012,5216
Ses01F_impro04\Ses01F_impro04_F013,21688
Ses01F_impro04\Ses01F_impro04_F014,6038
Ses01F_impro04\Ses01F_impro04_F015,17861
Ses01F_impro04\Ses01F_impro04_F016,16652
Ses01F_impro04\Ses01F_impro04_F017,11581
Ses01F_impro04\Ses01F_impro04_F018,20045
Ses01F_impro04\Ses01F_impro04_F019,17740
Ses01F_impro04\Ses01F_impro04_F020,16129
Ses01F_impro04\Ses01F_impro04_F021,3691
Ses01F_impro04\Ses01F_impro04_F022,1687
Ses01F_impro04\Ses01F_impro04_F023,6664
Ses01F_impro04\Ses01F_impro04_F024,4146
Ses01F_impro04\Ses01F_impro04_F025,5362
Ses01F_impro04\Ses01F_impro04_F026,6270
Ses01F_impro04\Ses01F_impro04_F027,3249
Ses01F_impro04\Ses01F_impro04_F028,8268
Ses01F_impro04\Ses01F_impro04_F029,12158
Ses01F_impro04\Ses01F_impro04_F030,32767
Ses01F_impro04\Ses01F_impro04_F031,18530
Ses01F_impro04\Ses01F_impro04_F032,7419
Ses01F_impro04\Ses01F_impro04_F033,12329
Ses01F_impro04\Ses01F_impro04_M000,3921
Ses01F_impro04\Ses01F_impro04_M001,2971
Ses01F_impro04\Ses01F_impro04_M002,2488
Ses01F_impro04\Ses01F_impro04_M003,1606
Ses01F_impro04\Ses01F_impro04_M004,4758
Ses01F_impro04\Ses01F_impro04_M005,3290
Ses01F_impro04\Ses01F_impro04_M006,3662
Ses01F_impro04\Ses01F_impro04_M007,4693
Ses01F_impro04\Ses01F_impro04_M008,2980
Ses01F_impro04\Ses01F_impro04_M009,5638
Ses01F_impro04\Ses01F_impro04_M010,1444
Ses01F_impro04\Ses01F_impro04_M011,3330
Ses01F_impro04\Ses01F_impro04_M012,6605
Ses01F_impro04\Ses01F_impro04_M013,3784
Ses01F_impro04\Ses01F_impro04_M014,7273
Ses01F_impro04\Ses01F_impro04_M015,7842
Ses01F_impro04\Ses01F_impro04_M016,5657
Ses01F_impro04\Ses01F_impro04_M017,6902
Ses01F_impro04\Ses01F_impro04_M018,5524
Ses01F_impro04\Ses01F_impro04_M019,3497
Ses01F_impro04\Ses01F_impro04_M020,3930
Ses01F_impro04\Ses01F_impro04_M021,6160
Ses01F_impro04\Ses01F_impro04_M022,2575
Ses01F_impro04\Ses01F_impro04_M023,3307
Ses01F_impro04\Ses01F_impro04_M024,1749
Ses01F_impro04\Ses01F_impro04_M025,2685
Ses01F_impro04\Ses01F_impro04_M026,3369
Ses01F_impro04\Ses01F_impro04_M027,3469
Ses01F_impro04\Ses01F_impro04_M028,2210
Ses01F_impro04\Ses01F_impro04_M029,4769
Ses01F_impro04\Ses01F_impro04_M030,5783
Ses01F_impro04\Ses01F_impro04_M031,1786
Ses01F_impro04\Ses01F_impro04_M032,4831
Ses01F_impro04\Ses01F_impro04_M033,4113
Ses01F_impro04\Ses01F_impro04_M034,3306
Ses01F_impro04\Ses01F_impro04_M035,3805
Ses01F_impro04\Ses01F_impro04_M036,2501
Ses01F_impro05\Ses01F_impro05_F000,7989
Ses01F_impro05\Ses01F_impro05_F001,13136
Ses01F_impro05\Ses01F_impro05_F002,13041
Ses01F_impro05\Ses01F_impro05_F003,17446
Ses01F_impro05\Ses01F_impro05_F004,21934
Ses01F_impro05\Ses01F_impro05_F005,13684
Ses01F_impro05\Ses01F_impro05_F006,4198
Ses01F_impro05\Ses01F_impro05_F007,9383
Ses01F_impro05\Ses01F_impro05_F008,12583
Ses01F_impro05\Ses01F_impro05_F009,15158
Ses01F_impro05\Ses01F_impro05_F010,32767
Ses01F_impro05\Ses01F_impro05_F011,20852
Ses01F_impro05\Ses01F_impro05_F012,27083
Ses01F_impro05\Ses01F_impro05_F013,11448
Ses01F_impro05\Ses01F_impro05_F014,19086
Ses01F_impro05\Ses01F_impro05_F015,32767
Ses01F_impro05\Ses01F_impro05_F016,32767
Ses01F_impro05\Ses01F_impro05_F017,32767
Ses01F_impro05\Ses01F_impro05_F018,30759
Ses01F_impro05\Ses01F_impro05_F019,32767
Ses01F_impro05\Ses01F_impro05_F020,32767
Ses01F_impro05\Ses01F_impro05_F021,32767
Ses01F_impro05\Ses01F_impro05_F022,26507
Ses01F_impro05\Ses01F_impro05_F023,26834
Ses01F_impro05\Ses01F_impro05_F024,22641
Ses01F_impro05\Ses01F_impro05_F025,32767
Ses01F_impro05\Ses01F_impro05_F026,9826
Ses01F_impro05\Ses01F_impro05_F027,5108
Ses01F_impro05\Ses01F_impro05_F028,4259
Ses01F_impro05\Ses01F_impro05_F029,14262
Ses01F_impro05\Ses01F_impro05_F030,9613
Ses01F_impro05\Ses01F_impro05_M000,5984
Ses01F_impro05\Ses01F_impro05_M001,5528
Ses01F_impro05\Ses01F_impro05_M002,5296
Ses01F_impro05\Ses01F_impro05_M003,5364
Ses01F_impro05\Ses01F_impro05_M004,3141
Ses01F_impro05\Ses01F_impro05_M005,9523
Ses01F_impro05\Ses01F_impro05_M006,2489
Ses01F_impro05\Ses01F_impro05_M007,5792
Ses01F_impro05\Ses01F_impro05_M008,3104
Ses01F_impro05\Ses01F_impro05_M009,8412
Ses01F_impro05\Ses01F_impro05_M010,8682
Ses01F_impro05\Ses01F_impro05_M011,7165
Ses01F_impro05\Ses01F_impro05_M012,10270
Ses01F_impro05\Ses01F_impro05_M013,5955
Ses01F_impro05\Ses01F_impro05_M014,10989
Ses01F_impro05\Ses01F_impro05_M015,4834
Ses01F_impro05\Ses01F_impro05_M016,8873
Ses01F_impro05\Ses01F_impro05_M017,13943
Ses01F_impro05\Ses01F_impro05_M018,17813
Ses01F_impro05\Ses01F_impro05_M019,13622
Ses01F_impro05\Ses01F_impro05_M020,10664
Ses01F_impro05\Ses01F_impro05_M021,29476
Ses01F_impro05\Ses01F_impro05_M022,15245
Ses01F_impro05\Ses01F_impro05_M023,17665
Ses01F_impro05\Ses01F_impro05_M024,31306
Ses01F_impro05\Ses01F_impro05_M025,10257
Ses01F_impro05\Ses01F_impro05_M026,18497
Ses01F_impro05\Ses01F_impro05_M027,11357
Ses01F_impro05\Ses01F_impro05_M028,7766
Ses01F_impro05\Ses01F_impro05_M029,23538
Ses01F_impro05\Ses01F_impro05_M030,10991
Ses01F_impro05\Ses01F_impro05_M031,7175
Ses01F_impro05\Ses01F_impro05_M032,8341
Ses01F_impro05\Ses01F_impro05_M033,5662
Ses01F_impro05\Ses01F_impro05_M034,6609
Ses01F_impro05\Ses01F_impro05_M035,3996
Ses01F_impro06\Ses01F_impro06_F000,2131
Ses01F_impro06\Ses01F_impro06_F001,2601
Ses01F_impro06\Ses01F_impro06_F002,1028
Ses01F_impro06\Ses01F_impro06_F003,1272
Ses01F_impro06\Ses01F_impro06_F004,1119
Ses01F_impro06\Ses01F_impro06_F005,2884
Ses01F_impro06\Ses01F_impro06_F006,4667
Ses01F_impro06\Ses01F_impro06_F007,3960
Ses01F_impro06\Ses01F_impro06_F008,3358
Ses01F_impro06\Ses01F_impro06_F009,2721
Ses01F_impro06\Ses01F_impro06_F010,2020
Ses01F_impro06\Ses01F_impro06_F011,3400
Ses01F_impro06\Ses01F_impro06_F012,11950
Ses01F_impro06\Ses01F_impro06_F013,988
Ses01F_impro06\Ses01F_impro06_F014,2199
Ses01F_impro06\Ses01F_impro06_F015,1375
Ses01F_impro06\Ses01F_impro06_F016,6154
Ses01F_impro06\Ses01F_impro06_F017,2821
Ses01F_impro06\Ses01F_impro06_F018,5242
Ses01F_impro06\Ses01F_impro06_F019,774
Ses01F_impro06\Ses01F_impro06_F020,4151
Ses01F_impro06\Ses01F_impro06_F021,4738
Ses01F_impro06\Ses01F_impro06_F022,3080
Ses01F_impro06\Ses01F_impro06_F023,1233
Ses01F_impro06\Ses01F_impro06_F024,2145
Ses01F_impro06\Ses01F_impro06_F025,6851
Ses01F_impro06\Ses01F_impro06_F026,2864
Ses01F_impro06\Ses01F_impro06_F027,1055
Ses01F_impro06\Ses01F_impro06_F028,12578
Ses01F_impro06\Ses01F_impro06_M000,3024
Ses01F_impro06\Ses01F_impro06_M001,3251
Ses01F_impro06\Ses01F_impro06_M002,1228
Ses01F_impro06\Ses01F_impro06_M003,3025
Ses01F_impro06\Ses01F_impro06_M004,1789
Ses01F_impro06\Ses01F_impro06_M005,2091
Ses01F_impro06\Ses01F_impro06_M006,1145
Ses01F_impro06\Ses01F_impro06_M007,1688
Ses01F_impro06\Ses01F_impro06_M008,3306
Ses01F_impro06\Ses01F_impro06_M009,1103
Ses01F_impro06\Ses01F_impro06_M010,2491
Ses01F_impro06\Ses01F_impro06_M011,1803
Ses01F_impro06\Ses01F_impro06_M012,1700
Ses01F_impro06\Ses01F_impro06_M013,2795
Ses01F_impro06\Ses01F_impro06_M014,1616
Ses01F_impro06\Ses01F_impro06_M015,2733
Ses01F_impro06\Ses01F_impro06_M016,2488
Ses01F_impro06\Ses01F_impro06_M017,5306
Ses01F_impro07\Ses01F_impro07_F000,32767
Ses01F_impro07\Ses01F_impro07_F001,25406
Ses01F_impro07\Ses01F_impro07_F002,31475
Ses01F_impro07\Ses01F_impro07_F003,32767
Ses01F_impro07\Ses01F_impro07_F004,9688
Ses01F_impro07\Ses01F_impro07_F005,32767
Ses01F_impro07\Ses01F_impro07_F006,32767
Ses01F_impro07\Ses01F_impro07_F007,19250
Ses01F_impro07\Ses01F_impro07_F008,15163
Ses01F_impro07\Ses01F_impro07_F009,18876
Ses01F_impro07\Ses01F_impro07_F010,32767
Ses01F_impro07\Ses01F_impro07_F011,32767
Ses01F_impro07\Ses01F_impro07_F012,32767
Ses01F_impro07\Ses01F_impro07_F013,28958
Ses01F_impro07\Ses01F_impro07_F014,11837
Ses01F_impro07\Ses01F_impro07_F015,29332
Ses01F_impro07\Ses01F_impro07_F016,19327
Ses01F_impro07\Ses01F_impro07_M000,23709
Ses01F_impro07\Ses01F_impro07_M001,32767
Ses01F_impro07\Ses01F_impro07_M002,32767
Ses01F_impro07\Ses01F_impro07_M003,21798
Ses01F_impro07\Ses01F_impro07_M004,29551
Ses01F_impro07\Ses01F_impro07_M005,32767
Ses01F_impro07\Ses01F_impro07_M006,32767
Ses01F_impro07\Ses01F_impro07_M007,32767
Ses01F_impro07\Ses01F_impro07_M008,27889
Ses01F_impro07\Ses01F_impro07_M009,13724
Ses01F_impro07\Ses01F_impro07_M010,6627
Ses01F_impro07\Ses01F_impro07_M011,2693
Ses01F_impro07\Ses01F_impro07_M012,9291
Ses01F_impro07\Ses01F_impro07_M013,14534
Ses01F_impro07\Ses01F_impro07_M014,17055
Ses01F_impro07\Ses01F_impro07_M015,30353
Ses01F_impro07\Ses01F_impro07_M016,11085
Ses01F_impro07\Ses01F_impro07_M017,4155
Ses01F_impro07\Ses01F_impro07_M018,13889
Ses01F_impro07\Ses01F_impro07_M019,22467
Ses01F_script01_1\Ses01F_script01_1_F000,4279
Ses01F_script01_1\Ses01F_script01_1_F001,5230
Ses01F_script01_1\Ses01F_script01_1_F002,7988
Ses01F_script01_1\Ses01F_script01_1_F003,22909
Ses01F_script01_1\Ses01F_script01_1_F004,3439
Ses01F_script01_1\Ses01F_script01_1_F005,2624
Ses01F_script01_1\Ses01F_script01_1_F006,4434
Ses01F_script01_1\Ses01F_script01_1_F007,5863
Ses01F_script01_1\Ses01F_script01_1_F008,3426
Ses01F_script01_1\Ses01F_script01_1_F009,5510
Ses01F_script01_1\Ses01F_script01_1_F010,2894
Ses01F_script01_1\Ses01F_script01_1_F011,9557
Ses01F_script01_1\Ses01F_script01_1_F012,12287
Ses01F_script01_1\Ses01F_script01_1_F013,26778
Ses01F_script01_1\Ses01F_script01_1_F014,4440
Ses01F_script01_1\Ses01F_script01_1_F015,5599
Ses01F_script01_1\Ses01F_script01_1_F016,13297
Ses01F_script01_1\Ses01F_script01_1_F017,27465
Ses01F_script01_1\Ses01F_script01_1_F018,5062
Ses01F_script01_1\Ses01F_script01_1_F019,10361
Ses01F_script01_1\Ses01F_script01_1_F020,30967
Ses01F_script01_1\Ses01F_script01_1_F021,20305
Ses01F_script01_1\Ses01F_script01_1_F022,22531
Ses01F_script01_1\Ses01F_script01_1_F023,7854
Ses01F_script01_1\Ses01F_script01_1_F024,11239
Ses01F_script01_1\Ses01F_script01_1_F025,20626
Ses01F_script01_1\Ses01F_script01_1_F026,7047
Ses01F_script01_1\Ses01F_script01_1_F027,5605
Ses01F_script01_1\Ses01F_script01_1_F028,9625
Ses01F_script01_1\Ses01F_script01_1_F029,17770
Ses01F_script01_1\Ses01F_script01_1_F030,2460
Ses01F_script01_1\Ses01F_script01_1_F031,4257
Ses01F_script01_1\Ses01F_script01_1_F032,7156
Ses01F_script01_1\Ses01F_script01_1_F033,17651
Ses01F_script01_1\Ses01F_script01_1_F034,4127
Ses01F_script01_1\Ses01F_script01_1_F035,15088
Ses01F_script01_1\Ses01F_script01_1_F036,29493
Ses01F_script01_1\Ses01F_script01_1_F037,32767
Ses01F_script01_1\Ses01F_script01_1_F038,32767
Ses01F_script01_1\Ses01F_script01_1_F039,6134
Ses01F_script01_1\Ses01F_script01_1_F040,8982
Ses01F_script01_1\Ses01F_script01_1_F041,32767
Ses01F_script01_1\Ses01F_script01_1_F042,25218
Ses01F_script01_1\Ses01F_script01_1_F043,5898
Ses01F_script01_1\Ses01F_script01_1_F044,2001
Ses01F_script01_1\Ses01F_script01_1_M000,6402
Ses01F_script01_1\Ses01F_script01_1_M001,5980
Ses01F_script01_1\Ses01F_script01_1_M002,5921
Ses01F_script01_1\Ses01F_script01_1_M003,2205
Ses01F_script01_1\Ses01F_script01_1_M004,2058
Ses01F_script01_1\Ses01F_script01_1_M005,4408
Ses01F_script01_1\Ses01F_script01_1_M006,8010
Ses01F_script01_1\Ses01F_script01_1_M007,8726
Ses01F_script01_1\Ses01F_script01_1_M008,7813
Ses01F_script01_1\Ses01F_script01_1_M009,19978
Ses01F_script01_1\Ses01F_script01_1_M010,4648
Ses01F_script01_1\Ses01F_script01_1_M011,5935
Ses01F_script01_1\Ses01F_script01_1_M012,2510
Ses01F_script01_1\Ses01F_script01_1_M013,7451
Ses01F_script01_1\Ses01F_script01_1_M014,2439
Ses01F_script01_1\Ses01F_script01_1_M015,2957
Ses01F_script01_1\Ses01F_script01_1_M016,4266
Ses01F_script01_1\Ses01F_script01_1_M017,5466
Ses01F_script01_1\Ses01F_script01_1_M018,16331
Ses01F_script01_1\Ses01F_script01_1_M019,15281
Ses01F_script01_1\Ses01F_script01_1_M020,18278
Ses01F_script01_1\Ses01F_script01_1_M021,17536
Ses01F_script01_1\Ses01F_script01_1_M022,12345
Ses01F_script01_1\Ses01F_script01_1_M023,5523
Ses01F_script01_1\Ses01F_script01_1_M024,8811
Ses01F_script01_1\Ses01F_script01_1_M025,8696
Ses01F_script01_1\Ses01F_script01_1_M026,9990
Ses01F_script01_1\Ses01F_script01_1_M027,6061
Ses01F_script01_1\Ses01F_script01_1_M028,9166
Ses01F_script01_1\Ses01F_script01_1_M029,13799
Ses01F_script01_1\Ses01F_script01_1_M030,16121
Ses01F_script01_1\Ses01F_script01_1_M031,4755
Ses01F_script01_1\Ses01F_script01_1_M032,17666
Ses01F_script01_1\Ses01F_script01_1_M033,8855
Ses01F_script01_1\Ses01F_script01_1_M034,6795
Ses01F_script01_1\Ses01F_script01_1_M035,7614
Ses01F_script01_1\Ses01F_script01_1_M036,13629
Ses01F_script01_1\Ses01F_script01_1_M037,30820
Ses01F_script01_1\Ses01F_script01_1_M038,32582
Ses01F_script01_1\Ses01F_script01_1_M039,3290
Ses01F_script01_1\Ses01F_script01_1_M040,3365
Ses01F_script01_1\Ses01F_script01_1_M041,20605
Ses01F_script01_1\Ses01F_script01_1_M042,9194
Ses01F_script01_1\Ses01F_script01_1_M043,5199
Ses01F_script01_2\Ses01F_script01_2_F000,14061
Ses01F_script01_2\Ses01F_script01_2_F001,5730
Ses01F_script01_2\Ses01F_script01_2_F002,9375
Ses01F_script01_2\Ses01F_script01_2_F003,13454
Ses01F_script01_2\Ses01F_script01_2_F004,3745
Ses01F_script01_2\Ses01F_script01_2_F005,32767
Ses01F_script01_2\Ses01F_script01_2_F006,32767
Ses01F_script01_2\Ses01F_script01_2_F007,32767
Ses01F_script01_2\Ses01F_script01_2_F008,32767
Ses01F_script01_2\Ses01F_script01_2_F009,13802
Ses01F_script01_2\Ses01F_script01_2_F010,32767
Ses01F_script01_2\Ses01F_script01_2_F011,32767
Ses01F_script01_2\Ses01F_script01_2_F012,32767
Ses01F_script01_2\Ses01F_script01_2_F013,32767
Ses01F_script01_2\Ses01F_script01_2_F014,9025
Ses01F_script01_2\Ses01F_script01_2_M000,7656
Ses01F_script01_2\Ses01F_script01_2_M001,6254
Ses01F_script01_2\Ses01F_script01_2_M002,6718
Ses01F_script01_2\Ses01F_script01_2_M003,9174
Ses01F_script01_2\Ses01F_script01_2_M004,4526
Ses01F_script01_2\Ses01F_script01_2_M005,1548
Ses01F_script01_2\Ses01F_script01_2_M006,8464
Ses01F_script01_2\Ses01F_script01_2_M007,20695
Ses01F_script01_2\Ses01F_script01_2_M008,18211
Ses01F_script01_2\Ses01F_script01_2_M009,7952
Ses01F_script01_2\Ses01F_script01_2_M010,20026
Ses01F_script01_2\Ses01F_script01_2_M011,2009
Ses01F_script01_2\Ses01F_script01_2_M012,6447
Ses01F_script01_2\Ses01F_script01_2_M013,28383
Ses01F_script01_2\Ses01F_script01_2_M014,32767
Ses01F_script01_2\Ses01F_script01_2_M015,32767
Ses01F_script01_2\Ses01F_script01_2_M016,11886
Ses01F_script01_2\Ses01F_script01_2_M017,32767
Ses01F_script01_3\Ses01F_script01_3_F000,9265
Ses01F_script01_3\Ses01F_script01_3_F001,5568
Ses01F_script01_3\Ses01F_script01_3_F002,2076
Ses01F_script01_3\Ses01F_script01_3_F003,1694
Ses01F_script01_3\Ses01F_script01_3_F004,5116
Ses01F_script01_3\Ses01F_script01_3_F005,2670
Ses01F_script01_3\Ses01F_script01_3_F006,2631
Ses01F_script01_3\Ses01F_script01_3_F007,2065
Ses01F_script01_3\Ses01F_script01_3_F008,6799
Ses01F_script01_3\Ses01F_script01_3_F009,3652
Ses01F_script01_3\Ses01F_script01_3_F010,2820
Ses01F_script01_3\Ses01F_script01_3_F011,13186
Ses01F_script01_3\Ses01F_script01_3_F012,32767
Ses01F_script01_3\Ses01F_script01_3_F013,12633
Ses01F_script01_3\Ses01F_script01_3_F014,5620
Ses01F_script01_3\Ses01F_script01_3_F015,4610
Ses01F_script01_3\Ses01F_script01_3_F016,2035
Ses01F_script01_3\Ses01F_script01_3_F017,6966
Ses01F_script01_3\Ses01F_script01_3_F018,32767
Ses01F_script01_3\Ses01F_script01_3_F019,16375
Ses01F_script01_3\Ses01F_script01_3_F020,32767
Ses01F_script01_3\Ses01F_script01_3_F021,3301
Ses01F_script01_3\Ses01F_script01_3_F022,3224
Ses01F_script01_3\Ses01F_script01_3_F023,2842
Ses01F_script01_3\Ses01F_script01_3_F024,5066
Ses01F_script01_3\Ses01F_script01_3_F025,3396
Ses01F_script01_3\Ses01F_script01_3_F026,2329
Ses01F_script01_3\Ses01F_script01_3_F027,2583
Ses01F_script01_3\Ses01F_script01_3_F028,1733
Ses01F_script01_3\Ses01F_script01_3_F029,1733
Ses01F_script01_3\Ses01F_script01_3_F030,1222
Ses01F_script01_3\Ses01F_script01_3_F031,1472
Ses01F_script01_3\Ses01F_script01_3_F032,1974
Ses01F_script01_3\Ses01F_script01_3_F033,6076
Ses01F_script01_3\Ses01F_script01_3_F034,11546
Ses01F_script01_3\Ses01F_script01_3_F035,2330
Ses01F_script01_3\Ses01F_script01_3_M000,5155
Ses01F_script01_3\Ses01F_script01_3_M001,3732
Ses01F_script01_3\Ses01F_script01_3_M002,2670
Ses01F_script01_3\Ses01F_script01_3_M003,2430
Ses01F_script01_3\Ses01F_script01_3_M004,3773
Ses01F_script01_3\Ses01F_script01_3_M005,4388
Ses01F_script01_3\Ses01F_script01_3_M006,2206
Ses01F_script01_3\Ses01F_script01_3_M007,3258
Ses01F_script01_3\Ses01F_script01_3_M008,5519
Ses01F_script01_3\Ses01F_script01_3_M009,9427
Ses01F_script01_3\Ses01F_script01_3_M010,14238
Ses01F_script01_3\Ses01F_script01_3_M011,6519
Ses01F_script01_3\Ses01F_script01_3_M012,3145
Ses01F_script01_3\Ses01F_script01_3_M013,3364
Ses01F_script01_3\Ses01F_script01_3_M014,7517
Ses01F_script01_3\Ses01F_script01_3_M015,14074
Ses01F_script01_3\Ses01F_script01_3_M016,4405
Ses01F_script01_3\Ses01F_script01_3_M017,2794
Ses01F_script01_3\Ses01F_script01_3_M018,23531
Ses01F_script01_3\Ses01F_script01_3_M019,15094
Ses01F_script01_3\Ses01F_script01_3_M020,2015
Ses01F_script01_3\Ses01F_script01_3_M021,5439
Ses01F_script01_3\Ses01F_script01_3_M022,2433
