session,zeroCrossing
Ses01F_impro02_F000,"[ 0.03027344  0.04541016  0.05908203  0.06054688  0.06103516  0.05566406
  0.06152344  0.05224609  0.05322266  0.06640625  0.06005859  0.06982422
  0.08300781  0.08447266  0.08398438  0.08691406  0.07763672  0.06933594
  0.07080078  0.06738281  0.07080078  0.07177734  0.06738281  0.06738281
  0.05126953  0.05908203  0.05859375  0.04931641  0.05664062  0.04638672
  0.05664062  0.06298828  0.06542969  0.06933594  0.07470703  0.15576172
  0.21923828  0.21386719  0.20117188  0.11816406  0.05029297  0.04785156
  0.05029297  0.04736328  0.04589844  0.04150391  0.0390625   0.04736328
  0.05175781  0.06640625  0.06787109  0.06054688  0.05273438  0.04003906
  0.03662109  0.03417969  0.04248047  0.05566406  0.06298828  0.06347656
  0.05908203  0.05517578  0.04638672  0.05517578  0.06835938  0.06445312
  0.06933594  0.06445312  0.06103516  0.06103516  0.06103516  0.07177734
  0.07080078  0.07226562  0.07324219  0.06396484  0.05615234  0.05957031
  0.05957031  0.06396484  0.06591797  0.06054688  0.05859375  0.05761719
  0.05371094  0.06054688  0.05908203  0.05810547  0.07373047  0.06738281
  0.07421875  0.07421875  0.06542969  0.07470703  0.07617188  0.08398438
  0.07617188  0.06591797  0.07958984  0.07958984  0.08544922  0.09423828
  0.07568359  0.06982422  0.06884766  0.06201172  0.06445312  0.06005859
  0.05517578  0.05224609  0.04199219  0.04003906  0.04736328  0.05126953
  0.05566406  0.06152344  0.05712891  0.05664062  0.06201172  0.05761719
  0.06054688  0.06542969  0.06445312  0.06689453  0.06884766  0.06201172
  0.06152344  0.06591797  0.06640625  0.06787109  0.07373047  0.07226562
  0.07763672  0.08056641  0.07568359  0.08007812  0.06738281  0.06835938
  0.06835938  0.05615234  0.05712891  0.0546875   0.04931641  0.05761719
  0.0625      0.06347656  0.07519531  0.06835938  0.06884766  0.06884766
  0.06054688  0.06396484  0.06787109  0.07275391  0.07470703  0.07519531
  0.06738281  0.05810547  0.05664062  0.05029297  0.04882812  0.05273438
  0.05664062  0.05712891  0.05566406  0.05615234  0.05371094  0.06396484
  0.08935547  0.16113281  0.22949219  0.23828125  0.2109375   0.18798828
  0.19433594  0.24316406  0.25585938  0.20458984  0.12353516  0.05322266
  0.03759766  0.04052734  0.04931641  0.05664062  0.05859375  0.05224609
  0.05273438  0.05322266  0.06152344  0.06054688  0.04833984  0.04296875
  0.04296875  0.04785156  0.05615234  0.06054688  0.06005859  0.06005859
  0.06054688  0.06103516  0.0546875   0.04980469  0.04541016  0.046875
  0.05322266  0.06152344  0.06689453  0.07763672  0.08789062  0.09667969
  0.09716797  0.08789062  0.07373047  0.06054688  0.05859375  0.05664062
  0.06201172  0.06347656  0.06542969  0.06787109  0.06396484  0.06640625
  0.06689453  0.0625      0.05859375  0.05615234  0.04541016  0.04833984
  0.05224609  0.0546875   0.05810547  0.05175781  0.04980469  0.04101562
  0.0390625   0.03808594  0.04199219  0.0546875   0.0625      0.06835938
  0.07177734  0.06542969  0.05908203  0.05615234  0.05664062  0.05957031
  0.0625      0.06347656  0.05175781  0.04882812  0.05615234  0.05859375
  0.06445312  0.06591797  0.05175781  0.04541016  0.04101562  0.03955078
  0.04541016  0.04638672  0.04882812  0.04589844  0.04345703  0.04589844
  0.04980469  0.05761719  0.06103516  0.0625      0.05859375  0.05517578
  0.05810547  0.06201172  0.06445312  0.06347656  0.0625      0.06298828
  0.05859375  0.05126953  0.04931641  0.03857422  0.04003906  0.05224609
  0.05712891  0.06298828  0.07324219  0.07568359  0.06933594  0.07421875
  0.06689453  0.05859375  0.05419922  0.03466797]"
Ses01F_impro02_F001,"[ 0.03857422  0.05224609  0.06787109  0.0703125   0.06591797  0.06494141
  0.0625      0.06494141  0.0625      0.06738281  0.07421875  0.06738281
  0.07373047  0.07617188  0.08007812  0.078125    0.07958984  0.08154297
  0.07421875  0.078125    0.06494141  0.05273438  0.04638672  0.04785156
  0.05029297  0.06640625  0.06884766  0.05957031  0.06054688  0.04980469
  0.05273438  0.05761719  0.0546875   0.05664062  0.05078125  0.04638672
  0.04394531  0.0390625   0.03857422  0.03662109  0.03369141  0.02929688
  0.02636719  0.03320312  0.03564453  0.03417969  0.03222656  0.02734375
  0.02880859  0.03222656  0.03808594  0.05371094  0.05273438  0.04931641
  0.04492188  0.03076172  0.03515625  0.04833984  0.04882812  0.04785156
  0.04394531  0.03369141  0.03369141  0.04541016  0.05175781  0.05224609
  0.06054688  0.0546875   0.05712891  0.05712891  0.05566406  0.05224609
  0.05175781  0.06298828  0.06542969  0.06884766  0.06445312  0.05322266
  0.05566406  0.06005859  0.05859375  0.06396484  0.06054688  0.05712891
  0.06005859  0.05761719  0.05761719  0.05615234  0.05517578  0.06201172
  0.05908203  0.04394531]"
Ses01F_impro02_F002,"[ 0.02978516  0.04003906  0.05224609  0.05029297  0.046875    0.04882812
  0.04980469  0.04638672  0.05517578  0.05908203  0.06738281  0.09130859
  0.09277344  0.10253906  0.09765625  0.07958984  0.07568359  0.07080078
  0.07177734  0.07666016  0.07080078  0.06298828  0.05810547  0.06054688
  0.06054688  0.05664062  0.05273438  0.04443359  0.04785156  0.05175781
  0.0625      0.0546875   0.04882812  0.05419922  0.05957031  0.06542969
  0.06591797  0.06787109  0.06054688  0.05859375  0.06347656  0.06054688
  0.05566406  0.05712891  0.05810547  0.05664062  0.05322266  0.05126953
  0.04443359  0.03369141  0.03808594  0.04492188  0.04589844  0.0546875
  0.05224609  0.05517578  0.05761719  0.05126953  0.04589844  0.03173828
  0.02441406  0.02929688  0.03662109  0.04101562  0.04052734  0.03759766
  0.03417969  0.02929688  0.03515625  0.03613281  0.0390625   0.05224609
  0.05029297  0.04980469  0.05712891  0.06298828  0.07128906  0.0859375
  0.08642578  0.09179688  0.09033203  0.08544922  0.078125    0.05761719
  0.04882812  0.03515625  0.02880859  0.03271484  0.04785156  0.06005859
  0.06933594  0.07519531  0.0703125   0.06347656  0.06640625  0.05712891
  0.05615234  0.05810547  0.05761719  0.06396484  0.06396484  0.08056641
  0.14501953  0.16455078  0.19042969  0.21923828  0.14746094  0.12548828
  0.09423828  0.04736328  0.05126953  0.05126953  0.04980469  0.05126953
  0.04492188  0.04248047  0.04296875  0.04003906  0.03613281  0.03125
  0.02587891  0.02246094  0.0234375   0.03173828  0.03759766  0.0546875
  0.05615234  0.06152344  0.06640625  0.04833984  0.05419922  0.04833984
  0.04492188  0.05371094  0.05566406  0.05371094  0.04833984  0.04736328
  0.04785156  0.05566406  0.0625      0.06347656  0.06884766  0.06347656
  0.06298828  0.05126953  0.03564453  0.02978516  0.02246094  0.02783203
  0.03173828  0.03271484  0.04150391  0.04248047  0.04248047  0.04785156
  0.04394531  0.04443359  0.05273438  0.05761719  0.06347656  0.05859375
  0.04150391  0.0234375   0.01367188  0.01367188  0.02734375  0.03759766
  0.04931641  0.05761719  0.05615234  0.05712891  0.05029297  0.04589844
  0.05224609  0.05078125  0.06884766  0.06787109  0.04882812]"
Ses01F_impro02_F003,"[ 0.01074219  0.02294922  0.02441406  0.02880859  0.03515625  0.02783203
  0.03369141  0.04052734  0.03564453  0.04345703  0.05029297  0.04541016
  0.05859375  0.05908203  0.05957031  0.05712891  0.05615234  0.0546875
  0.04443359  0.05078125  0.046875    0.05224609  0.06152344  0.06103516
  0.06591797  0.06152344  0.06152344  0.05712891  0.06005859  0.06005859
  0.06347656  0.06591797  0.05810547  0.05810547  0.05419922  0.05712891
  0.05419922  0.05664062  0.05371094  0.04833984  0.05175781  0.04980469
  0.05029297  0.04931641  0.04736328  0.04492188  0.05078125  0.05517578
  0.05175781  0.05322266  0.046875    0.046875    0.05664062  0.06152344
  0.07275391  0.07324219  0.06494141  0.0625      0.06591797  0.06689453
  0.07666016  0.08007812  0.07324219  0.07226562  0.07324219  0.06884766
  0.07519531  0.10644531  0.11083984  0.10449219  0.08886719  0.05224609
  0.03613281  0.05273438  0.05517578  0.06689453  0.07763672  0.08398438
  0.09326172  0.07910156  0.06835938  0.04833984  0.03222656  0.03173828
  0.03369141  0.03857422  0.04785156  0.05615234  0.06201172  0.05419922
  0.04736328  0.04003906  0.03125     0.03320312  0.03759766  0.09912109
  0.11572266  0.11230469  0.12255859  0.06787109  0.05078125  0.05029297
  0.0390625   0.0625      0.08056641  0.09521484  0.09960938  0.08007812
  0.07226562  0.078125    0.09033203  0.10351562  0.10302734  0.10302734
  0.09472656  0.07714844  0.07470703  0.07421875  0.07519531  0.08447266
  0.09326172  0.08203125  0.08154297  0.07421875  0.07421875  0.09130859
  0.09912109  0.10058594  0.08642578  0.06689453  0.05712891  0.05712891
  0.06542969  0.06640625  0.05761719  0.05664062  0.05126953  0.05908203
  0.06347656  0.06640625  0.06738281  0.05957031  0.0546875   0.06054688
  0.06396484  0.06835938  0.06884766  0.05957031  0.05517578  0.05175781
  0.05322266  0.04980469  0.05224609  0.05566406  0.05615234  0.06298828
  0.06738281  0.06689453  0.06835938  0.06933594  0.06396484  0.05859375
  0.06103516  0.0625      0.05957031  0.07177734  0.0703125   0.05810547
  0.06396484  0.05224609  0.05224609  0.05712891  0.05566406  0.05664062
  0.05566406  0.05175781  0.03759766]"
Ses01F_impro02_F004,"[ 0.02880859  0.04248047  0.06152344  0.06738281  0.06445312  0.06201172
  0.06542969  0.05908203  0.05517578  0.06689453  0.06494141  0.06835938
  0.07910156  0.07080078  0.0625      0.06005859  0.06494141  0.06884766
  0.06640625  0.06835938  0.06103516  0.05859375  0.06396484  0.09912109
  0.10742188  0.11425781  0.12304688  0.08691406  0.08349609  0.08007812
  0.06494141  0.06884766  0.06835938  0.06689453  0.07177734  0.06738281
  0.06689453  0.0625      0.05810547  0.05957031  0.05517578  0.0546875
  0.06152344  0.06103516  0.06591797  0.07421875  0.07128906  0.06933594
  0.06396484  0.05761719  0.0546875   0.05615234  0.05664062  0.05371094
  0.05761719  0.06005859  0.06494141  0.07128906  0.06835938  0.06298828
  0.06005859  0.05517578  0.05712891  0.06054688  0.06103516  0.06396484
  0.06445312  0.06054688  0.05615234  0.046875    0.04638672  0.04785156
  0.05126953  0.05957031  0.05957031  0.06347656  0.05957031  0.0625
  0.06054688  0.06738281  0.06787109  0.05517578  0.06591797  0.04980469
  0.046875    0.05273438  0.04638672  0.05126953  0.05908203  0.06445312
  0.06445312  0.07568359  0.08105469  0.06982422  0.06689453  0.05175781
  0.046875    0.05322266  0.05517578  0.05859375  0.05761719  0.06152344
  0.05810547  0.05273438  0.07324219  0.08203125  0.08349609  0.08300781
  0.06152344  0.05029297  0.05126953  0.05859375  0.05810547  0.06005859
  0.05859375  0.05517578  0.0546875   0.04785156  0.04345703  0.04345703
  0.04199219  0.04003906  0.04345703  0.03613281  0.02880859  0.02636719
  0.02001953  0.02099609  0.02392578  0.02636719  0.02880859  0.03417969
  0.04248047  0.05664062  0.06542969  0.06542969  0.06103516  0.05029297
  0.04980469  0.05566406  0.06103516  0.05664062  0.05029297  0.03857422
  0.02880859  0.03125     0.03027344  0.03027344  0.02832031  0.02587891
  0.02490234  0.03613281  0.04296875  0.05078125  0.06445312  0.07470703
  0.1015625   0.12792969  0.14355469  0.14160156  0.11621094  0.09814453
  0.09863281  0.08837891  0.09130859  0.09716797  0.07910156  0.08349609
  0.09521484  0.08007812  0.08007812  0.07763672  0.08056641  0.08203125
  0.07324219  0.07568359  0.05810547  0.06787109  0.06787109  0.05273438
  0.0390625 ]"
Ses01F_impro02_F005,"[ 0.02636719  0.04150391  0.05810547  0.06933594  0.07080078  0.06982422
  0.06542969  0.06152344  0.06005859  0.06396484  0.06591797  0.06689453
  0.06689453  0.06738281  0.06835938  0.06347656  0.06347656  0.05859375
  0.05712891  0.05859375  0.05664062  0.06445312  0.08251953  0.09472656
  0.10595703  0.10595703  0.08789062  0.07275391  0.05224609  0.03759766
  0.03320312  0.03173828  0.03271484  0.03710938  0.03808594  0.03955078
  0.04199219  0.04150391  0.03662109  0.03662109  0.03955078  0.04541016
  0.05810547  0.06494141  0.06640625  0.06835938  0.06982422  0.07714844
  0.08496094  0.08496094  0.08740234  0.078125    0.07470703  0.08251953
  0.07714844  0.08398438  0.09863281  0.10058594  0.10595703  0.11279297
  0.10058594  0.09521484  0.08984375  0.07666016  0.06542969  0.06494141
  0.05566406  0.04589844  0.05615234  0.04882812  0.05908203  0.06982422
  0.07275391  0.07519531  0.07568359  0.07910156  0.06933594  0.07324219
  0.06201172  0.04199219  0.02832031]"
Ses01F_impro02_F006,"[ 0.05224609  0.06982422  0.09716797  0.09716797  0.08740234  0.09277344
  0.08203125  0.07470703  0.07177734  0.06542969  0.07617188  0.078125
  0.07275391  0.07568359  0.07666016  0.06982422  0.07373047  0.06738281
  0.05566406  0.05126953  0.06005859  0.06542969  0.06298828  0.07519531
  0.06738281  0.0625      0.06201172  0.06152344  0.07324219  0.078125
  0.08300781  0.07568359  0.0703125   0.06738281  0.06982422  0.07958984
  0.06835938  0.06201172  0.05029297  0.03564453  0.03808594  0.046875
  0.04980469  0.05371094  0.05517578  0.04736328  0.04199219  0.04003906
  0.03857422  0.03857422  0.04443359  0.04882812  0.06445312  0.07666016
  0.07910156  0.08154297  0.06689453  0.0546875   0.05712891  0.06005859
  0.06005859  0.06396484  0.05908203  0.04345703  0.04003906  0.04394531
  0.03759766  0.04589844  0.05712891  0.04980469  0.05224609  0.05126953
  0.04492188  0.04443359  0.04150391  0.03466797  0.02832031  0.03759766
  0.04589844  0.05175781  0.05859375  0.05419922  0.04980469  0.04541016
  0.04443359  0.04931641  0.05273438  0.05664062  0.05566406  0.05810547
  0.06201172  0.06396484  0.06982422  0.06054688  0.05664062  0.06103516
  0.06054688  0.06640625  0.06494141  0.06396484  0.06396484  0.05859375
  0.05908203  0.05761719  0.06103516  0.05810547  0.06347656  0.06542969
  0.05957031  0.05712891  0.04980469  0.04541016  0.04296875  0.04638672
  0.04736328  0.05175781  0.05712891  0.06298828  0.07373047  0.07128906
  0.06494141  0.06347656  0.05566406  0.05712891  0.06494141  0.06347656
  0.0625      0.05908203  0.06005859  0.06005859  0.06201172  0.04980469]"
Ses01F_impro02_F007,"[ 0.02929688  0.03857422  0.05615234  0.05322266  0.06054688  0.06689453
  0.06591797  0.06591797  0.05615234  0.04736328  0.04541016  0.04589844
  0.05371094  0.06494141  0.07666016  0.08740234  0.09716797  0.11328125
  0.10107422  0.10595703  0.11767578  0.12402344  0.11962891  0.09863281
  0.0859375   0.07958984  0.10888672  0.13671875  0.13183594  0.12548828
  0.11425781  0.09326172  0.08935547  0.09423828  0.10058594  0.10302734
  0.11132812  0.10693359  0.0859375   0.07763672  0.06738281  0.05224609
  0.046875    0.05078125  0.04785156  0.05273438  0.06445312  0.07177734
  0.07421875  0.08740234  0.09863281  0.11621094  0.14697266  0.15429688
  0.16259766  0.15820312  0.13378906  0.11083984  0.09521484  0.08740234
  0.08789062  0.10058594  0.10644531  0.11181641  0.10888672  0.11083984
  0.10791016  0.09326172  0.09179688  0.10058594  0.11376953  0.13232422
  0.13867188  0.125       0.10009766  0.08496094  0.09130859  0.09277344
  0.09570312  0.09765625  0.09179688  0.08007812  0.07958984  0.07373047
  0.07080078  0.15185547  0.20263672  0.20556641  0.20117188  0.13232422
  0.09472656  0.10302734  0.09863281  0.09765625  0.09130859  0.09960938
  0.12744141  0.13183594  0.13867188  0.12841797  0.10009766  0.07714844
  0.07226562  0.1328125   0.13427734  0.13623047  0.12353516  0.05078125
  0.05761719  0.06689453  0.07617188  0.08447266  0.08886719  0.09716797
  0.10400391  0.11572266  0.10595703  0.10986328  0.11865234  0.11572266
  0.12207031  0.09814453  0.07421875  0.05078125  0.04101562  0.05371094
  0.06054688  0.07275391  0.08056641  0.07324219  0.06787109  0.06005859
  0.09472656  0.10302734  0.11376953  0.11425781  0.07421875  0.06103516
  0.04296875  0.0390625   0.03955078  0.04589844  0.06005859  0.06933594
  0.06738281  0.06933594  0.08447266  0.11621094  0.12548828  0.13232422
  0.12109375  0.09423828  0.09716797  0.08691406  0.08398438  0.08203125
  0.06933594  0.07226562  0.06298828  0.06005859  0.06689453  0.07177734
  0.08007812  0.078125    0.09375     0.09033203  0.11474609  0.13671875
  0.14746094  0.17333984  0.16845703  0.15039062  0.14257812  0.11425781
  0.08154297  0.08935547  0.07080078  0.07373047  0.08300781  0.07714844
  0.07373047  0.06835938  0.06396484  0.05908203  0.05957031  0.08691406
  0.10693359  0.10888672  0.10888672  0.08251953  0.06298828  0.04785156
  0.03417969  0.01953125]"
Ses01F_impro02_F008,"[ 0.03027344  0.04785156  0.07373047  0.06787109  0.07373047  0.07128906
  0.0625      0.06054688  0.05810547  0.05322266  0.05322266  0.05175781
  0.05615234  0.05712891  0.05273438  0.05957031  0.05371094  0.05712891
  0.06445312  0.06347656  0.07128906  0.07373047  0.078125    0.11669922
  0.22998047  0.37353516  0.51367188  0.60400391  0.53076172  0.45605469
  0.41845703  0.37060547  0.38134766  0.3203125   0.21191406  0.13037109
  0.08398438  0.07519531  0.07275391  0.06982422  0.0546875   0.05029297
  0.06396484  0.06884766  0.06982422  0.06542969  0.05029297  0.04736328
  0.09765625  0.14990234  0.14990234  0.14257812  0.10205078  0.07275391
  0.06787109  0.06542969  0.05419922  0.03613281  0.03955078  0.04736328
  0.046875    0.05566406  0.05175781  0.06445312  0.07275391  0.07177734
  0.08496094  0.07421875  0.07958984  0.08349609  0.08105469  0.09130859
  0.10644531  0.10546875  0.10742188  0.09423828  0.09472656  0.10302734
  0.10546875  0.11621094  0.09912109  0.08544922  0.08740234  0.1015625
  0.109375    0.1484375   0.17431641  0.17089844  0.17236328  0.14501953
  0.12890625  0.11376953  0.09570312  0.08496094  0.06298828  0.05615234
  0.06396484  0.05957031  0.05761719  0.06591797  0.07080078  0.07910156
  0.08740234  0.08056641  0.07568359  0.07666016  0.07714844  0.08251953
  0.08251953  0.08447266  0.07958984  0.07861328  0.0703125   0.05517578
  0.05859375  0.05664062  0.06347656  0.06542969  0.06054688  0.05371094
  0.04492188  0.03271484]"
Ses01F_impro02_F009,"[ 0.02294922  0.04003906  0.05273438  0.0546875   0.05615234  0.04638672
  0.04882812  0.05322266  0.05126953  0.05859375  0.0546875   0.05078125
  0.05664062  0.05712891  0.06005859  0.06201172  0.06201172  0.05664062
  0.05712891  0.05712891  0.05712891  0.06103516  0.06347656  0.06054688
  0.05859375  0.06005859  0.06445312  0.06005859  0.05419922  0.06201172
  0.05419922  0.05566406  0.11816406  0.15673828  0.20751953  0.26025391
  0.21142578  0.16748047  0.1171875   0.06542969  0.06054688  0.0703125
  0.07910156  0.08251953  0.07714844  0.05908203  0.05029297  0.04638672
  0.05126953  0.04882812  0.04443359  0.04248047  0.03320312  0.03662109
  0.03710938  0.04248047  0.04980469  0.05517578  0.05517578  0.05322266
  0.05615234  0.04736328  0.04296875  0.03710938  0.02587891  0.02441406
  0.02294922  0.02441406  0.02978516  0.03320312  0.03417969  0.03271484
  0.02685547  0.02294922  0.02392578  0.02685547  0.03515625  0.04296875
  0.04541016  0.05029297  0.05224609  0.0546875   0.06005859  0.06054688
  0.06689453  0.06494141  0.06835938  0.0703125   0.05566406  0.05126953
  0.04199219  0.03808594  0.04394531  0.05615234  0.05859375  0.05712891
  0.05908203  0.05371094  0.05957031  0.05908203  0.06005859  0.05126953
  0.04443359  0.04492188  0.03955078  0.05224609  0.06054688  0.07519531
  0.09277344  0.10302734  0.10595703  0.11132812  0.12695312  0.13232422
  0.15332031  0.15576172  0.15332031  0.16210938  0.14404297  0.12353516
  0.11962891  0.13574219  0.14306641  0.16308594  0.15576172  0.125
  0.11962891  0.11376953  0.10839844  0.10253906  0.09619141  0.08837891
  0.08154297  0.08203125  0.06542969  0.04638672]"
Ses01F_impro02_F010,"[ 0.02587891  0.04833984  0.06494141  0.06640625  0.07373047  0.07226562
  0.0703125   0.07910156  0.0703125   0.06640625  0.07568359  0.08251953
  0.09814453  0.10595703  0.11181641  0.11865234  0.12207031  0.12841797
  0.12597656  0.11914062  0.109375    0.10351562  0.10400391  0.11474609
  0.11328125  0.09814453  0.08105469  0.04785156  0.07177734  0.13769531
  0.2265625   0.26611328  0.23925781  0.26123047  0.24755859  0.25097656
  0.24755859  0.17041016  0.09521484  0.05566406  0.06005859  0.04589844
  0.04443359  0.04345703  0.04345703  0.05078125  0.05419922  0.06005859
  0.11376953  0.17919922  0.20410156  0.21191406  0.14501953  0.0703125
  0.03759766  0.02734375  0.03466797  0.03515625  0.03662109  0.03027344
  0.02978516  0.03857422  0.04980469  0.06298828  0.06591797  0.06445312
  0.07714844  0.07373047  0.07519531  0.07666016  0.06054688  0.06201172
  0.06494141  0.06152344  0.06152344  0.05371094  0.05078125  0.05664062
  0.06640625  0.06640625  0.06787109  0.06982422  0.05712891  0.06640625
  0.06738281  0.0625      0.06933594  0.06640625  0.05664062  0.05322266
  0.05810547  0.05615234  0.05908203  0.05908203  0.05419922  0.05908203
  0.0859375   0.09277344  0.09228516  0.09326172  0.06347656  0.06054688
  0.06103516  0.05419922  0.06738281  0.06542969  0.06542969  0.07763672
  0.07275391  0.07324219  0.08349609  0.07373047  0.078125    0.08007812
  0.07373047  0.07470703  0.07421875  0.0703125   0.06396484  0.05517578
  0.05224609  0.05419922  0.06152344  0.06738281  0.06933594  0.07324219
  0.06542969  0.06738281  0.06591797  0.06347656  0.06640625  0.07128906
  0.05371094]"
Ses01F_impro02_F011,"[ 0.03027344  0.04833984  0.06201172  0.07568359  0.08300781  0.07568359
  0.07958984  0.07324219  0.078125    0.08544922  0.09960938  0.10986328
  0.10253906  0.10009766  0.08935547  0.07617188  0.06640625  0.06787109
  0.06054688  0.06054688  0.06933594  0.06396484  0.06884766  0.06738281
  0.06982422  0.07373047  0.07080078  0.06542969  0.05615234  0.05419922
  0.05273438  0.06347656  0.07226562  0.078125    0.08154297  0.07617188
  0.06835938  0.05566406  0.05029297  0.04052734  0.06982422  0.07470703
  0.07177734  0.07128906  0.03662109  0.03027344  0.03125     0.02929688
  0.02783203  0.04003906  0.04248047  0.05175781  0.05859375  0.04931641
  0.04492188  0.04199219  0.04248047  0.0390625   0.03662109  0.03027344
  0.0234375   0.02294922  0.0234375   0.02294922  0.02246094  0.02246094
  0.02832031  0.03320312  0.03857422  0.04736328  0.04980469  0.05419922
  0.06347656  0.06298828  0.06787109  0.0703125   0.06738281  0.06982422
  0.06982422  0.06542969  0.06103516  0.05957031  0.05957031  0.0703125
  0.08007812  0.08105469  0.07275391  0.07763672  0.06689453  0.06201172
  0.06787109  0.05615234  0.06201172  0.07275391  0.08203125  0.07958984
  0.08105469  0.06835938  0.06445312  0.07226562  0.06884766  0.07421875
  0.07275391  0.05029297  0.03515625]"
Ses01F_impro02_F012,"[ 0.02636719  0.04541016  0.05664062  0.06298828  0.0703125   0.07275391
  0.07373047  0.06738281  0.06103516  0.0546875   0.05664062  0.05078125
  0.06005859  0.06396484  0.07128906  0.08105469  0.08056641  0.08105469
  0.078125    0.08349609  0.09033203  0.10253906  0.14697266  0.14941406
  0.13427734  0.1171875   0.06396484  0.04980469  0.04785156  0.04150391
  0.03808594  0.02929688  0.02636719  0.02441406  0.02441406  0.02490234
  0.02636719  0.02539062  0.02636719  0.02929688  0.04150391  0.04492188
  0.04345703  0.04150391  0.03222656  0.03369141  0.03759766  0.04101562
  0.0390625   0.03466797  0.03466797  0.02978516  0.02734375  0.02832031
  0.02539062  0.02880859  0.03955078  0.04931641  0.05615234  0.06201172
  0.06103516  0.05810547  0.06103516  0.05908203  0.0546875   0.05517578
  0.05371094  0.05419922  0.05859375  0.05908203  0.06152344  0.06542969
  0.06103516  0.06201172  0.06835938  0.06298828  0.06494141  0.06103516
  0.05761719  0.06103516  0.06689453  0.06738281  0.06542969  0.05908203
  0.06152344  0.06884766  0.07080078  0.06884766  0.06005859  0.05224609
  0.046875    0.05517578  0.05615234  0.05126953  0.03662109]"
Ses01F_impro02_F013,"[ 0.04003906  0.05566406  0.06982422  0.06884766  0.06103516  0.05810547
  0.05566406  0.04785156  0.05224609  0.06396484  0.06152344  0.06884766
  0.06396484  0.05908203  0.0625      0.06054688  0.0625      0.05566406
  0.05957031  0.06494141  0.06738281  0.06835938  0.07666016  0.07080078
  0.07324219  0.07666016  0.0703125   0.06640625  0.05810547  0.05957031
  0.06542969  0.07226562  0.07373047  0.078125    0.06494141  0.06738281
  0.06542969  0.05371094  0.05908203  0.04785156  0.05615234  0.06689453
  0.06152344  0.07080078  0.06494141  0.06787109  0.07324219  0.07324219
  0.07177734  0.05859375  0.05566406  0.05175781  0.06201172  0.06591797
  0.06396484  0.07666016  0.06835938  0.06884766  0.06396484  0.04492188
  0.04345703  0.04980469  0.06152344  0.06884766  0.07275391  0.07373047
  0.06835938  0.07666016  0.07470703  0.0703125   0.08154297  0.07373047
  0.07421875  0.06884766  0.05419922  0.05078125  0.04882812  0.04736328
  0.04785156  0.04492188  0.04589844  0.04882812  0.04931641  0.04833984
  0.04443359  0.04296875  0.04492188  0.06591797  0.15527344  0.19189453
  0.20654297  0.19140625  0.10742188  0.078125    0.06054688  0.06933594
  0.07714844  0.08349609  0.09521484  0.08691406  0.07714844  0.06298828
  0.05566406  0.05322266  0.0546875   0.05517578  0.05957031  0.05371094
  0.04541016  0.03857422  0.03808594  0.05224609  0.08056641  0.09521484
  0.09716797  0.10351562  0.10253906  0.10400391  0.10107422  0.09814453
  0.07958984  0.06982422  0.0703125   0.05419922  0.05761719  0.06298828
  0.06152344  0.07421875  0.06787109  0.07080078  0.07373047  0.06787109
  0.06591797  0.05957031  0.05517578  0.05126953  0.0546875   0.05810547
  0.06201172  0.06884766  0.06982422  0.06640625  0.06591797  0.06298828
  0.06396484  0.06689453  0.05859375  0.07080078  0.06933594  0.07275391
  0.07568359  0.05810547  0.05371094  0.04980469  0.05517578  0.06201172
  0.06103516  0.06591797  0.06005859  0.06005859  0.06542969  0.05615234
  0.07080078  0.07470703  0.07958984  0.08300781  0.07568359  0.07714844
  0.08105469  0.08349609  0.08544922  0.08740234  0.078125    0.07519531
  0.078125    0.07226562  0.07861328  0.07958984  0.07958984  0.07958984
  0.07275391  0.06591797  0.05517578  0.04980469  0.04980469  0.05566406
  0.06005859  0.07861328  0.08154297  0.09521484  0.08837891  0.05712891]"
