session,max(max(amplitude)),max(mean(amplitude)),max(var(amplitude)),mean(max(amplitude)),mean(mean(amplitude)),mean(var(amplitude)),var(max(amplitude)),var(mean(amplitude)),var(var(amplitude)),max(energy(energy)),mean(energy(energy)),var(energy(energy)),max(silence_ratio(silence_ratio)),mean(silence_ratio(silence_ratio)),var(silence_ratio(silence_ratio)),max(zerocrossing(zerocrossing)),mean(zerocrossing(zerocrossing)),var(zerocrossing(zerocrossing)),max(max(cepstrum)),max(mean(cepstrum)),max(var(cepstrum)),mean(max(cepstrum)),mean(mean(cepstrum)),mean(var(cepstrum)),var(max(cepstrum)),var(mean(cepstrum)),var(var(cepstrum))
Ses01F_impro02_F002,4500.0,26.618125,2336229.1534214844,759.2105263157895,-0.8098684210526317,162848.59620353626,826189.1837488463,52.97459820088873,193097307107.6362,9613175.0,6413322.14035,6313925060080.0,0.009375,0.0033333333333300003,5.32255116959e-06,77.0,8.85964912281,218.646968298,23.3721602361,0.0192227415438,0.348312836614,18.0701978667,0.0153710262124,0.218646171424,3.75026533635,4.1871878544e-06,0.0020936057315399997
Ses01F_impro02_F003,4965.0,13.186875,2554869.85044375,760.3214285714287,-0.7090066964285715,155666.7393311175,771682.3609693878,31.521002940524358,149736248311.54715,9602920.0,6310651.6964300005,6386577155240.0,0.008125,0.00344866071429,3.85032186703e-06,44.0,7.535714285710001,68.9272959184,22.9493470398,0.018481623999,0.341077438688,18.325025682899998,0.014772261381899998,0.224635759769,4.35452433503,6.11755257308e-06,0.0024113113336
Ses01F_impro02_F004,3938.0,18.14125,1179479.5781714844,719.859649122807,-0.8560526315789475,128594.25721265082,811151.1381963681,27.70160597804132,74571271445.21452,9541713.0,6586412.45614,5857100256260.0,0.00875,0.00366228070175,5.84482725454e-06,114.0,9.263157894739999,304.088642659,23.162773855900003,0.0189840450893,0.344836663406,17.8646875651,0.0147935357161,0.213984212964,2.71246278329,3.58854821185e-06,0.00150305448123
Ses01F_impro02_F005,3250.0,5.9475,2896642.3273609374,659.44,-0.8788750000000002,262203.3763708281,827623.6063999998,22.41343290625,487747772624.2699,8982094.0,6570356.2,5402470926650.0,0.006875,0.003675,5.01e-06,86.0,13.08,376.2336,22.6132019944,0.0182960639458,0.334785437001,17.8532200661,0.014898971819500001,0.215667616794,4.5426425064,3.64837149274e-06,0.0025249568757
Ses01F_impro02_F006,6948.0,14.03,4040375.75535,1363.7857142857142,-0.8524107142857141,402750.7418401785,2769750.025510204,36.01640698607569,757469858614.9111,10031903.0,5565115.5714300005,8168542959070.0,0.006875,0.0030654761904800004,4.9257723922900005e-06,44.0,8.04761904762,103.712018141,25.6713566871,0.0181427761367,0.419628880992,19.0072243199,0.014878723691399998,0.243405935027,7.826159951880001,4.7572476102099995e-06,0.0047472046666000006
Ses01F_impro02_F008,2592.0,13.96,658799.7984000001,698.236842105263,-0.7549342105263158,99729.27564159127,480222.2333795014,34.243281430704634,28018733045.913185,9616927.0,6632199.42105,5540868757890.0,0.01,0.00396381578947,8.10600978186e-06,24.0,5.315789473680001,46.7950138504,23.543999089899998,0.018058854032799998,0.35889366636500003,19.0563821832,0.015336277726700001,0.243216466506,5.49789356454,4.60752841745e-06,0.00310670359964
Ses01F_impro02_F010,1795.0,9.70875,385974.8839234375,502.07142857142856,-0.8327083333333333,42776.79300678944,250442.49489795926,18.3692150421627,5913838514.573957,9475279.0,6496597.952380001,4048883370600.0,0.01,0.00424107142857,5.980947066330001e-06,61.0,14.7619047619,353.65759637199994,23.2106733007,0.0175363933068,0.34514660268200004,18.1631387717,0.0146980575132,0.219945567989,4.0981826752099995,4.93871488676e-06,0.00232906626026
Ses01F_impro02_F012,3131.0,23.581875,1795159.3029652343,652.0,-0.7581249999999999,144956.6916052084,590420.6,48.48530794270834,132548213036.76292,8774410.0,6065104.53333,6017928756920.0,0.008125,0.004125,7.69791666667e-06,59.0,13.333333333299999,223.42222222200002,20.489763209,0.0190043283957,0.276041755924,17.6413645087,0.015298007404700002,0.20797440237999998,1.97404592176,4.239112883e-06,0.00105752062891
Ses01F_impro02_F013,7276.0,11.475625,5942513.39899961,933.2950819672133,-0.8599897540983604,329508.6175588564,2465709.453910239,19.2540575370364,1042625742325.9248,9620288.0,6338790.90164,7247027020530.0,0.010625,0.00434426229508,6.62687281645e-06,73.0,12.901639344300001,279.596882558,24.0720316696,0.0187136434406,0.370199499992,17.9527520278,0.0142133147202,0.21835786164700002,6.460298238200001,7.0321856292e-06,0.0039061183508499998
Ses01F_impro02_F014,3205.0,15.60875,3017695.096923437,772.2328767123288,-0.8559931506849313,222232.3863298481,656818.1512478893,25.064644508086644,262066471288.5847,10370761.0,6371749.91781,6730722786220.0,0.008125,0.00320205479452,4.33374577782e-06,91.0,8.753424657530001,180.377556765,24.645433640100002,0.0184402144315,0.39106569467299995,18.979242524700002,0.0148255111142,0.240838232881,5.4148583420000005,5.02242844355e-06,0.0031682005556199996
Ses01F_impro02_F015,4255.0,8.88125,1673632.3265527345,751.2857142857142,-0.7471250000000003,151577.57498414058,838901.7469387756,16.187730808035713,119690952598.83801,10697988.0,6694339.2857099995,5588538699740.0,0.008125,0.00364285714286,5.56887755102e-06,87.0,9.57142857143,307.61632653099997,23.647763510900003,0.0174549747348,0.364787928163,18.444820516300002,0.0148434637804,0.227914521269,4.12599392233,3.15704042029e-06,0.0024313661487600003
Ses01F_impro02_F016,2420.0,6.16375,338585.5701234375,693.5714285714287,-0.6538392857142858,65797.29910567336,490224.91156462603,21.314430181760198,11293177591.855556,10526749.0,7025190.2381,5247152048090.0,0.010625,0.0036309523809499996,5.78939909297e-06,86.0,12.619047619000002,388.426303855,21.613035499000002,0.0176370843053,0.302674679525,18.4530039963,0.014671533422999998,0.228101982771,3.3324878540599996,4.23901329498e-06,0.0018301510780599998
Ses01F_impro02_F017,10206.0,24.12125,10591705.96279844,2456.151515151515,-0.7918465909090912,1093532.6609608608,5851391.401285582,84.13481167651301,3547175142043.4136,9335102.0,4373546.287880001,8246060343900.0,0.009375,0.00216856060606,5.18725967057e-06,74.0,5.75757575758,145.820018365,27.1358557166,0.019045111195599998,0.47518147742100003,21.3894753612,0.0157092644451,0.304055249963,8.87894076737,5.37499752949e-06,0.00624637209072
Ses01F_impro02_F018,2492.0,15.245,587045.9324839844,799.9333333333333,-0.787375,116961.35913505207,597772.1288888889,40.909822223958344,33354222222.82705,10778091.0,6484733.2,6087100619800.0,0.009375,0.0032708333333300002,5.53862847222e-06,71.0,12.9,268.09,23.8000928684,0.018314375275799998,0.364083748437,18.6335129715,0.015328719998899999,0.232595017385,5.48660835509,4.3647470902e-06,0.00319942281894
Ses01F_impro02_F019,2046.0,8.85,683593.0799859376,563.7333333333332,-0.9829166666666668,85703.92022627608,276079.5288888889,17.883981883680555,26579084097.49424,9500206.0,6530077.333330001,4764119433980.0,0.010625,0.0040833333333300005,6.47743055556e-06,70.0,13.1333333333,365.848888889,21.7037179611,0.0172369170562,0.305422718691,17.9946450718,0.014931622811799999,0.216849260867,3.32269073939,7.06680457867e-06,0.0017763095808699997
Ses01F_impro02_F020,2040.0,18.720625,813662.2907484376,632.3555555555556,-0.8734027777777779,82217.92657238716,249671.34024691363,68.76133131172838,24298785503.83107,10350575.0,6742479.7555599995,5023767954360.0,0.009375,0.0034027777777800006,4.61033950617e-06,42.0,6.3777777777799995,83.1683950617,22.5174310101,0.018588016107099998,0.325965253775,18.785163507300002,0.0159456086847,0.234279899512,3.54526996236,5.05518538691e-06,0.00191705185773
Ses01F_impro02_M001,3143.0,18.330625,1076434.53919375,842.6491228070175,-0.7275219298245613,153135.68899649126,479069.1049553706,50.25936885916821,46489317292.49238,10633287.0,6087422.491230001,8001957402410.0,0.00875,0.00263157894737,4.43718259464e-06,23.0,4.78947368421,35.9556786704,23.834913780300003,0.0185500503268,0.362874301147,19.313886259100002,0.015591193789299998,0.249572547927,4.887463416549999,3.36188232897e-06,0.0029330939299999997
Ses01F_impro02_M005,2921.0,12.40625,880753.9109496092,1134.8163265306125,-0.9244642857142856,232370.1255209821,675702.6805497711,32.57833970025511,64032999395.4151,9940524.0,4908292.12245,6865183481490.0,0.008125,0.0022576530612199996,5.4977092878e-06,38.0,5.65306122449,90.4714702207,24.170761953299998,0.0178460642336,0.378048219028,19.9606485851,0.0152485901817,0.264385820005,4.24186859166,6.1955350989800005e-06,0.0026595784820300002
Ses01F_impro02_M009,1841.0,12.0425,333046.07443593745,496.36111111111114,-0.7634201388888889,39716.39979831815,140327.5640432099,24.48942262339651,4208919024.847517,9640238.0,7320058.361110001,2450783856210.0,0.0075,0.00375,4.05815972222e-06,59.0,6.944444444439999,119.774691358,22.362249959099998,0.0177923990107,0.325838694315,18.4331006668,0.0151128419454,0.22709625175200002,2.93307712911,2.80360066496e-06,0.00163073571238
Ses01F_impro02_M010,1094.0,14.343125,158401.5887964844,396.4761904761905,-0.8600148809523811,30678.460244559137,64613.63038548755,26.758269726341066,2095598467.482616,9593669.0,7276995.11905,3186094481910.0,0.00875,0.00349702380952,5.20944054705e-06,60.0,11.5238095238,228.011337868,20.0979010719,0.0181076795866,0.261363347554,17.7198672086,0.0151722893017,0.209921054863,0.9301377962620001,3.9926893242e-06,0.00043221067891400003
Ses01F_impro02_M011,757.0,5.46,114961.9434,282.34375,-0.761015625,13062.452420068359,12722.7880859375,13.414255462646484,389616070.94656426,11093126.0,8007625.3125,1808747791690.0,0.01125,0.0045703125,5.0888061523400005e-06,50.0,13.0625,221.37109375,19.6489783935,0.0175147984168,0.253011034814,17.3833427261,0.0142561355225,0.203248997467,0.389507576977,5.79465199206e-06,0.000146185810998
Ses01F_impro02_M012,3195.0,11.66625,951094.8711109377,980.6304347826087,-0.8355570652173914,150447.66582905062,477701.53733459354,32.11692566624084,35623659964.21896,9634216.0,5789441.45652,5255545911000.0,0.00875,0.0027309782608699994,4.57470610822e-06,47.0,5.89130434783,72.48818525520001,23.203096550100003,0.0177847079271,0.350708819526,19.5160831413,0.0154990696985,0.253455841171,4.12655391859,3.13288751936e-06,0.00235341167334
Ses01F_impro02_M013,3616.0,12.330625,751620.2733496093,795.9574468085108,-0.7115691489361701,113063.46910425533,671179.3598913535,29.71890019734609,36061825099.47185,10143534.0,6663193.65957,6267197207010.0,0.00875,0.003125,5.36901595745e-06,88.0,7.6808510638300005,190.174739701,23.0061089938,0.0179349591629,0.34111852011,18.674776543,0.0156726657254,0.233593553836,3.09996138726,1.4082398952700001e-06,0.00182243870338
Ses01F_impro02_M014,2197.0,11.624375,369404.55724375,852.4130434782608,-0.9317663043478256,91934.01387863456,344939.7641776938,31.955894876092863,11549465441.91927,9662614.0,6201799.86957,4695161311840.0,0.008125,0.00259510869565,4.53409292297e-06,41.0,7.63043478261,105.537334594,23.4604047146,0.0179277669947,0.349330614859,19.152302559000002,0.015515681948899998,0.24381992413800002,2.62911068409,2.61754183558e-06,0.0014878527316500001
Ses01F_impro02_M015,2673.0,17.446875,846098.0851089844,932.0,-1.8325,154438.87313463542,550921.3333333335,90.66901744791667,55651734693.51959,8435175.0,5621408.333330001,5261485132040.0,0.005,0.00192708333333,1.98296440972e-06,44.0,4.91666666667,141.243055556,22.1740542093,0.0184609411696,0.320705238791,20.101484410999998,0.016173723761,0.265859851373,1.4026663911300001,4.17644915833e-06,0.0008843574083230001
Ses01F_impro03_F000,9086.0,12.549375,7052379.740090234,3481.107142857143,-0.55578125,1754975.136094517,9071842.952806124,33.23918679199219,4985198386668.34,9684976.0,3372687.82143,9699118987270.0,0.005,0.0012723214285699999,2.1897919324e-06,17.0,2.4285714285699997,13.959183673499998,27.3054199659,0.017866749749599998,0.474723895911,22.5871868865,0.0155164960779,0.33602957089,6.54450543481,2.9269808474099997e-06,0.005494476953689999
Ses01F_impro03_F001,10190.0,12.869375,9782903.186875,3710.558823529412,-0.9550000000000002,1614878.4658366959,11901913.246539796,36.77228536305145,5315730144449.037,9812402.0,4359242.58824,9740332341580.0,0.005,0.0016176470588199997,2.55325475779e-06,21.0,2.0,14.7058823529,27.773670587399998,0.0180548935143,0.488496096118,22.7668918807,0.01534766992,0.34240680884,7.80417466342,3.85334391893e-06,0.00619461710553
Ses01F_impro03_F002,21337.0,50.845,45694318.39268594,8755.2,-0.8087750000000001,11081750.763680924,49678145.44,246.7609270775,179941962823006.75,7276834.0,1763977.48,4161286615340.0,0.0025,0.000375,4.0625e-07,3.0,0.88,1.0656,29.9361864969,0.020389862742299997,0.5759607517809999,24.753712028200002,0.0169020113998,0.404060357529,10.280677831,3.23308932421e-06,0.009942979068260001
Ses01F_impro03_F004,30255.0,44.829375,90230690.80881836,12579.135135135137,-0.7568412162162165,20384901.831100788,56485118.49525201,427.20357368973686,582809615653278.1,4356822.0,622258.0270270001,1259359502520.0,0.001875,0.00027027027027,2.43676953981e-07,4.0,0.7837837837839999,1.3046018992,30.914074825900002,0.0205384536008,0.6098754486300001,26.669584502600003,0.017239777892,0.46210417149800004,4.08420637938,6.84664604344e-06,0.00452479121535
Ses01F_impro03_F005,29837.0,28.89625,29689173.619960934,9048.84,-0.9106,7933185.814921749,54182421.89439999,236.47153588999993,81867261484354.4,4545004.0,1219479.76,1552545641940.0,0.00125,0.000175,1.4125e-07,5.0,0.76,1.4624,29.076297221100003,0.0197257708215,0.542492197048,25.807850335799998,0.0170875957208,0.430779674748,3.6500850074,2.93313755533e-06,0.00369366177754
Ses01F_impro03_F006,10892.0,11.7575,14286504.598265234,3945.36507936508,-0.8098611111111113,1899408.3223390875,5266261.946082137,61.492996210868576,5286541380018.911,9138186.0,2234278.7619,6707927996480.0,0.00625,0.000813492063492,1.5827743134299999e-06,14.0,1.55555555556,6.151675485009999,26.5491306027,0.018625729781099998,0.45173643953500003,22.7714736119,0.0157259765412,0.340917776647,4.41240673145,6.394547501169999e-06,0.0033554322713899997
Ses01F_impro03_F008,14609.0,38.12125,35772836.34467148,4888.615384615385,-1.1212499999999994,4183454.4921155656,14548067.390532546,232.72279825721162,61778110690587.77,7461798.0,2577651.38462,3826702272090.0,0.00375,0.000841346153846,1.2602856878700001e-06,38.0,3.6153846153800004,60.5443786982,28.1635895948,0.0198704746385,0.518719677018,23.280883316599997,0.016496539982,0.35703668882399997,5.19347729946,3.9999155448699995e-06,0.00469673376861
Ses01F_impro03_F009,14632.0,28.769375,28474445.733062103,5865.0625,-1.1421484375,5420985.368108276,18322685.18359375,222.6106308578491,51213007170410.33,8609040.0,2326021.1875,7199690135960.0,0.00375,0.000703125,1.21459960937e-06,4.0,0.8125,1.27734375,27.8932872438,0.0193628977053,0.496141627803,23.8240576727,0.0169772226379,0.37580355824600004,7.102238257739999,3.06940518229e-06,0.00614891724028
Ses01F_impro03_F010,13533.0,24.42,19281900.44569375,4679.84375,-1.04919921875,3312171.3783012573,13999440.756835938,97.86933677330019,20177371177195.875,9171095.0,2415021.53125,7537173968850.0,0.008125,0.00123046875,3.5518646240199995e-06,29.0,1.9375,26.55859375,27.6635235673,0.0190673093562,0.490553414426,22.652175951599997,0.0161893569584,0.340989969256,8.54109749733,4.102079330180001e-06,0.00695739436415
Ses01F_impro03_F012,20822.0,11.97125,45676897.84623086,5205.545454545455,-0.5515909090909091,5987052.5111115035,42269677.61157024,59.067704145144646,156378525312572.62,9183236.0,3771065.2727300003,12130011137200.0,0.006875,0.00133522727273,3.06446926653e-06,36.0,4.77272727273,109.902892562,28.325607219899997,0.0187843966089,0.510819840049,21.9843933448,0.0157223561969,0.32375048298000003,14.9700694155,5.16638450686e-06,0.0121516936992
Ses01F_impro03_F013,20919.0,33.9775,33089389.762873434,6107.470588235295,-0.7871936274509804,4783401.588115466,28652591.739331026,122.70455141502063,63321775057231.03,8232195.0,2453211.90196,5584741284500.0,0.00375,0.0007352941176469999,1.0065239331e-06,7.0,1.33333333333,3.4379084967300004,29.390627689899997,0.0196629549879,0.556266790707,24.3915165661,0.0159700690954,0.39235549882299997,7.22575880665,4.69102954779e-06,0.00641736601676
Ses01F_impro03_F016,8327.0,14.478125,7492746.589243751,2926.85,-0.013874999999999927,1311003.0342734763,5603830.427499998,67.24434650781251,3881985070495.866,9600983.0,3752049.3,10034498850700.0,0.005,0.00125,2.578125e-06,17.0,2.75,20.5875,24.996507713099998,0.019050197223000002,0.39884790030199996,21.8171610903,0.0152864988484,0.3154708088,4.53074288288,7.147333716910001e-06,0.00312908039121
Ses01F_impro03_F017,8080.0,11.803125,4820938.093583983,2434.7241379310344,-0.9960129310344829,819609.2512926321,5685172.268727704,37.98673026438021,1933247782235.1748,9888151.0,4638028.7931,8647428814670.0,0.005625,0.00196120689655,3.06368906064e-06,38.0,4.7241379310300005,53.1652794293,25.4855770713,0.0177561914542,0.42042881158600004,21.0951944103,0.0154499438589,0.294313715643,6.300666114689999,4.64647787971e-06,0.004456271209
Ses01F_impro03_F018,11064.0,14.294375,11809207.20771836,2297.068965517241,-0.7778663793103446,890085.5614387798,5369840.8917954825,43.32923942664985,4759389383257.604,8998377.0,4584440.10345,9403020473940.0,0.006875,0.00217672413793,4.24624702735e-06,31.0,5.586206896549999,57.139120095100004,26.1481763006,0.0185226035244,0.448969497928,20.596296655,0.015371292365,0.28389291237799996,8.16471486807,3.5769022818e-06,0.0056016295845699995
Ses01F_impro03_F019,2019.0,12.7275,644918.4089437501,730.5714285714287,-0.30285714285714305,124123.8979638951,402097.9591836735,68.8454922273597,44674464033.75819,8942322.0,6360376.2857099995,5617535209900.0,0.00625,0.0025446428571399998,3.37412308673e-06,30.0,6.92857142857,70.637755102,22.291268594899996,0.018646948198099998,0.32181419579799997,18.5134014029,0.0151429836469,0.229047917368,4.27994758321,1.13826581877e-05,0.0023832769709999997
Ses01F_impro03_F021,12782.0,36.296875,23455638.65881836,3539.6851851851848,-0.9081250000000002,2371863.1421093307,8093686.104595337,117.73644039351858,20407070071294.11,9084660.0,2728622.66667,5336973620260.0,0.004375,0.00109953703704,1.2432752486299998e-06,23.0,2.25925925926,21.3031550069,27.577022802,0.0197820370357,0.490534267209,22.9416081853,0.016063929547299998,0.34440944082099995,4.66107803461,3.7364694256800003e-06,0.0038228586244499997
Ses01F_impro03_F022,4803.0,12.106875,1747792.5486402342,1182.3636363636365,-0.961875,216509.3813629971,957224.0495867765,24.93985394176136,131894691606.64247,9060875.0,4847015.36364,5958530848640.0,0.008125,0.00258522727273,6.11844653926e-06,20.0,4.22727272727,30.8119834711,23.236795682399997,0.0181584296787,0.35311293469099997,19.480253014000002,0.014267468540499999,0.251383531543,2.9690847415099997,6.576385629319999e-06,0.00176637348696
Ses01F_impro03_F023,1247.0,2.561875,159601.9648609375,650.5,-1.4240625,57732.56779707031,105712.25,5.5870614257812505,2614996261.8462605,10188569.0,6409252.5,6681304889330.0,0.00375,0.001640625,1.55639648438e-06,10.0,3.0,10.5,19.7988576253,0.016132908666,0.25893535170800003,18.8441860236,0.0140165106964,0.236279561682,1.01579959248,3.31533675423e-06,0.00048691028613999994
Ses01F_impro03_F024,7992.0,26.204375,8025306.693485937,2421.568181818182,-0.8092329545454547,1054952.2340130506,4659297.199896693,49.01325965666968,2425095605195.626,9519386.0,4344477.59091,10382115592900.0,0.009375,0.0018181818181800002,3.92077737603e-06,34.0,3.47727272727,44.70402892560001,26.2765008264,0.019194489980400003,0.44187832634900004,21.6070242517,0.014622935366200001,0.308617877698,6.54788584131,5.9366995369e-06,0.004803268145279999
Ses01F_impro03_F025,9048.0,29.0725,9021925.071871484,4600.410256410257,-0.6661698717948715,2827034.709302133,8015420.600920446,120.52972005567885,7794684579648.935,7158348.0,2127174.1282099998,3418878654310.0,0.0025,0.000528846153846,5.917159763310001e-07,32.0,2.6410256410299997,28.9480604865,26.9942464437,0.019381799276999997,0.465139455781,24.020281196,0.016329200074200002,0.376850718891,4.15462695306,4.51515578255e-06,0.00343942086377
Ses01F_impro03_F026,10994.0,29.086875,23762790.960108984,3361.65,-0.92765625,2378181.756447506,8905289.927500004,89.39403762532551,20819045312918.13,8578256.0,3925487.51667,9471053074160.0,0.006875,0.0015416666666700002,3.52170138889e-06,14.0,2.33333333333,12.222222222200001,27.3786888621,0.019382690738699998,0.48097149466899997,22.707649190599998,0.0157281787119,0.34099244108599996,9.23416685512,4.84428522291e-06,0.00698258777483
Ses01F_impro03_M000,13749.0,13.490625,5015155.902421485,2379.454545454545,-1.1041761363636364,799209.2070285691,10560031.429752063,49.51794262735665,1674077450152.3062,9460591.0,5922098.31818,7613765092610.0,0.00625,0.0025,4.119318181819999e-06,32.0,4.5,42.7954545455,26.794622423200003,0.0186575803748,0.46841466646700003,21.3133993332,0.0156552739384,0.300707145684,6.09322207561,3.22876017723e-06,0.00479228580511
Ses01F_impro03_M001,9212.0,11.69,5885302.1614,2865.3,-0.9615625,1059689.7535420705,7403291.410000001,30.575105488281245,2401724509033.144,10238588.0,4118997.2,11064837971900.0,0.005,0.0018125,3.66796875e-06,24.0,5.4,62.14,25.5208222609,0.0179486573364,0.427789392122,21.574892415700003,0.0142360960552,0.30860357295400004,4.179490942669999,1.08422741217e-05,0.0035103240498600002
Ses01F_impro03_M006,7953.0,26.803125,7808770.130560937,2924.85,-1.17975,1559249.8511791797,5189111.227499999,132.8357607578125,4279593337187.3286,9426933.0,3414449.2,10193640694500.0,0.00875,0.00190625,5.4091796875e-06,27.0,4.15,41.9275,25.7960611766,0.0192352318753,0.42334156789899996,21.3062537269,0.0165784133001,0.303109232849,7.99120966873,2.80296086095e-06,0.00537057660696
Ses01F_impro03_M007,9262.0,14.95625,9836011.07244961,3323.259259259259,-0.8526388888888891,1606386.9069736402,6856533.821673526,33.39376476658951,6012084400241.497,8981222.0,3104734.14815,5872442727730.0,0.00625,0.00134259259259,3.46364883402e-06,31.0,2.96296296296,40.2578875171,27.0465545234,0.0181831659705,0.467409911563,23.2318919841,0.0156799625576,0.35304574222400004,5.84350280659,1.56520094182e-06,0.0045802712049700005
Ses01F_impro03_M008,9044.0,16.11375,9365257.256875,3269.3076923076924,-1.0715384615384616,1609795.715042428,8753990.674556212,89.93916674371302,6637948104875.259,7708427.0,3787986.6153800003,5276112171920.0,0.003125,0.00105769230769,1.4654215976299999e-06,5.0,1.15384615385,2.43786982249,24.7601257357,0.0187615750414,0.392647856323,21.7324396339,0.0154262896361,0.312103814893,3.1058993043900003,6.53619377757e-06,0.0024982133638800003
Ses01F_impro03_M009,8227.0,20.72,9702041.99604336,3018.8775510204077,-0.7503571428571432,1731086.1082736454,4471288.474802165,85.62588439094391,4836248721316.392,10572680.0,3256048.4081599996,10398031329900.0,0.00625,0.0014413265306099999,2.87315181175e-06,32.0,3.26530612245,43.5010412328,26.776107780700002,0.0194888184675,0.455384568243,21.656873815300003,0.015645302363,0.310560668926,7.01026664622,6.44648683692e-06,0.00474003980287
